date,Federal government; U.S. equity in IBRD, etc.; asset,Federal government; U.S. equity in IBRD, etc.; asset,Monetary authority; Federal Reserve bank stock; liability,Monetary authority; Federal Reserve bank stock; liability,Government-sponsored enterprises; equity in government-sponsored enterprises (GSEs); liability,Nonfinancial corporate business; equity in Fannie Mae and Farm Credit System; asset,Nonfinancial noncorporate business; equity in Farm Credit System; asset,Federal government; equity in government-sponsored enterprises (GSEs); asset,U.S.-chartered depository institutions; equity in FHLB; asset,Credit unions; equity in FHLB; asset,Property-casualty insurance companies; equity in FHLB; asset,Life insurance companies, general accounts; equity in FHLB; asset,Finance companies; equity in FHLB; asset,Mortgage real estate investment trusts; equity in FHLB; asset,U.S.-chartered depository institutions; net transactions due to holding companies, excluding foreign bank affiliates; liability,Property-casualty insurance companies; net transactions due to holding companies; liability,Life insurance companies; net transactions due to holding companies; liability,Finance companies; net transactions due to holding companies; liability,Security brokers and dealers; net transactions due to holding companies; liability,Rest of the world; net transactions due to holding companies; liability,Holding companies; net transactions due from own subsidiaries; asset,Nonfinancial corporate business; equity investment in finance company subsidiaries; asset,Nonfinancial corporate business; equity investment in finance company subsidiaries; asset,Foreign banking offices in the U.S.; equity investment by funding corporations; liability,Security brokers and dealers; investment by funding corporations; liability,Other financial business; equity investment in own subsidiaries; asset,Other financial business; equity investment in funds associated with PPIP; liability,Households and nonprofit organizations; equity investment in funding corporations under PPIP; asset,Federal government; equity investment in funding corporations under PPIP; asset,Federal government; Exchange Stabilization Fund Economic Recovery Programs investment in Money Market Mutual Fund Liquidity Facility (MMLF); asset,Other financial business; Exchange Stabilization Fund Economic Recovery Programs Equity Investment in Federal Reserve credit facility LLCs; liability,Federal government; Total Exchange Stabilization Fund Economic Recovery Programs investments in Federal Reserve credit facilities; asset
1945:Q4,0,0,177,177,700,4,181,443,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,317,317,187,187,613,3,143,383,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,635,635,196,196,583,2,124,356,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,635,635,201,201,604,2,126,359,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,635,635,211,211,599,2,129,335,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,635,635,225,225,606,2,132,295,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,635,635,237,237,649,2,137,239,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952:Q1,635,635,242,242,669,3,137,239,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952:Q2,635,635,245,245,681,3,139,239,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952:Q3,635,635,247,247,688,3,140,239,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952:Q4,635,635,253,253,698,3,141,239,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953:Q1,635,635,257,257,723,3,143,239,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953:Q2,635,635,260,260,739,3,143,239,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953:Q3,635,635,262,262,748,3,146,239,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953:Q4,635,635,265,265,758,3,148,239,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954:Q1,635,635,270,270,786,3,149,231,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954:Q2,635,635,272,272,783,3,150,210,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954:Q3,635,635,276,276,792,3,152,210,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954:Q4,635,635,288,288,898,3,154,303,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955:Q1,635,635,294,294,933,3,156,303,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955:Q2,635,635,295,295,960,4,157,303,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955:Q3,635,635,298,298,972,4,161,303,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955:Q4,635,635,303,303,990,6,165,303,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956:Q1,635,635,310,310,1048,8,168,303,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956:Q2,635,635,316,316,1072,10,172,300,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956:Q3,670,670,320,320,1085,14,175,300,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956:Q4,670,670,326,326,1102,17,178,300,607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957:Q1,670,670,331,331,1230,22,182,375,651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957:Q2,670,670,333,333,1252,27,189,368,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957:Q3,670,670,338,338,1264,31,191,368,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957:Q4,670,670,345,345,1283,37,193,368,685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958:Q1,670,670,350,350,1338,41,195,368,734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958:Q2,670,670,353,353,1348,41,195,364,748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958:Q3,670,670,357,357,1361,42,205,358,756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958:Q4,670,670,363,363,1379,43,209,358,769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959:Q1,670,670,374,374,1446,45,213,361,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959:Q2,670,670,380,380,1471,48,215,364,844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959:Q3,670,670,383,383,1488,52,227,357,852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959:Q4,670,670,387,387,1514,57,232,359,866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960:Q1,670,670,395,395,1613,64,237,359,953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960:Q2,750,750,400,400,1634,71,236,361,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960:Q3,750,750,403,403,1663,76,248,365,974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960:Q4,824,824,409,409,1690,79,252,370,989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961:Q1,824,824,423,423,1788,82,257,370,1079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961:Q2,824,824,425,425,1807,84,257,374,1092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961:Q3,824,824,432,432,1820,85,272,363,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961:Q4,995,995,445,445,1835,88,276,364,1107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962:Q1,995,995,453,453,1849,91,281,365,1112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962:Q2,995,995,458,458,1860,95,282,367,1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962:Q3,995,995,462,462,1868,97,297,356,1118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962:Q4,1117,1117,467,467,1884,99,301,358,1126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963:Q1,1117,1117,478,478,1895,99,306,360,1130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963:Q2,1117,1117,481,481,1910,99,305,369,1137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963:Q3,1117,1117,487,487,1932,99,324,356,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963:Q4,1179,1179,497,497,1902,100,328,303,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964:Q1,1179,1179,508,508,1912,101,333,289,1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964:Q2,1229,1229,513,513,1927,102,334,290,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964:Q3,1229,1229,518,518,1915,102,355,246,1212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964:Q4,1291,1291,524,524,1930,103,362,238,1227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965:Q1,1291,1291,536,536,1960,104,371,238,1247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965:Q2,1291,1291,541,541,1991,107,391,233,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965:Q3,1291,1291,544,544,2012,107,407,228,1270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965:Q4,1291,1291,551,551,2029,111,413,228,1277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966:Q1,1291,1291,560,560,2127,118,426,280,1303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966:Q2,1291,1291,562,562,2223,126,440,318,1339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966:Q3,1301,1301,566,566,2270,131,457,322,1360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966:Q4,1191,1191,570,570,2293,136,466,322,1369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967:Q1,1224,1224,578,578,2325,138,478,322,1387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967:Q2,1266,1266,585,585,2331,140,502,297,1392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967:Q3,1343,1343,589,589,2352,147,511,300,1394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967:Q4,1384,1384,598,598,2371,153,523,300,1395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968:Q1,1422,1422,612,612,2414,161,534,302,1417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968:Q2,1467,1467,617,617,2473,170,566,311,1426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968:Q3,1484,1484,619,619,2301,178,574,148,1401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968:Q4,1512,1512,630,630,2218,185,630,0,1403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969:Q1,1534,1534,641,641,2281,194,645,0,1442,0,0,0,0,0,1000,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0
1969:Q2,1589,1589,659,659,2332,207,674,0,1451,0,0,0,0,0,2000,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0
1969:Q3,1639,1639,666,666,2357,230,683,0,1444,0,0,0,0,0,3000,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0
1969:Q4,1696,1696,669,669,2426,253,695,0,1478,0,0,0,0,0,4000,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0
1970:Q1,1762,1762,681,681,2295,28,709,0,1558,0,0,0,0,0,5000,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0
1970:Q2,1812,1812,685,685,2342,29,727,0,1586,0,0,0,0,0,6000,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0
1970:Q3,1860,1860,691,691,2362,30,733,0,1599,0,0,0,0,0,8000,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0
1970:Q4,1929,1929,702,702,2396,31,758,0,1607,0,0,0,0,0,10000,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0
1971:Q1,1964,1964,717,717,2436,32,775,0,1629,0,0,0,0,0,11000,0,0,69,0,0,11069,0,0,0,0,0,0,0,0,0,0,0
1971:Q2,2013,2013,729,729,2430,33,795,0,1602,0,0,0,0,0,12000,0,0,134,0,0,12134,0,0,0,0,0,0,0,0,0,0,0
1971:Q3,2112,2112,734,734,2434,34,800,0,1600,0,0,0,0,0,14000,0,0,273,0,0,14273,0,0,0,0,0,0,0,0,0,0,0
1971:Q4,2176,2176,742,742,2490,36,836,0,1618,0,0,0,0,0,15000,0,0,565,0,0,15565,0,0,0,0,0,0,0,0,0,0,0
1972:Q1,2220,2220,761,761,2591,36,846,0,1709,0,0,0,0,0,16000,0,0,1035,0,0,17035,0,0,0,0,0,0,0,0,0,0,0
1972:Q2,2289,2289,772,772,2639,37,881,0,1721,0,0,0,0,0,17000,0,0,1707,0,0,18707,0,0,0,0,0,0,0,0,0,0,0
1972:Q3,2337,2337,778,778,2654,37,888,0,1729,0,0,0,0,0,19000,0,0,2404,0,0,21404,0,0,0,0,0,0,0,0,0,0,0
1972:Q4,2447,2447,793,793,2730,41,933,0,1756,0,0,0,0,0,21000,0,0,2950,0,0,23950,0,0,0,0,0,0,0,0,0,0,0
1973:Q1,2537,2537,807,807,2946,42,961,0,1943,0,0,0,0,0,21000,0,0,3385,1000,1000,26385,0,0,0,0,0,0,0,0,0,0,0
1973:Q2,2613,2613,820,820,3076,45,1023,0,2008,0,0,0,0,0,22000,0,0,3499,1250,1000,27749,0,0,0,0,0,0,0,0,0,0,0
1973:Q3,2716,2716,829,829,3213,49,1075,0,2089,0,0,0,0,0,21500,0,0,3559,3000,2500,30559,0,0,0,0,0,0,0,0,0,0,0
1973:Q4,2820,2820,844,844,3276,51,1103,0,2122,0,0,0,0,0,22500,0,0,3584,3250,2500,31834,0,0,0,0,0,0,0,0,0,0,0
1974:Q1,2917,2917,872,872,3484,52,1126,0,2306,0,0,0,0,0,24000,0,0,3514,4000,3000,34514,0,0,0,0,0,0,0,0,0,0,0
1974:Q2,3059,3059,878,878,3701,56,1232,0,2413,0,0,0,0,0,26000,0,0,3292,4250,3000,36542,0,0,0,0,0,0,0,0,0,0,0
1974:Q3,3141,3141,886,886,3883,60,1280,0,2543,0,0,0,0,0,27500,0,0,3133,5000,3500,39133,0,0,0,0,0,0,0,0,0,0,0
1974:Q4,3357,3357,897,897,4018,65,1329,0,2624,0,0,0,0,0,28500,0,0,3251,5250,3500,40501,0,0,0,0,0,0,0,0,0,0,0
1975:Q1,3509,3509,902,902,4113,67,1369,0,2677,0,0,0,0,0,30000,0,0,3590,6000,4000,43590,500,500,0,0,0,0,0,0,0,0,0
1975:Q2,3628,3628,909,909,4123,71,1399,0,2653,0,0,0,0,0,32000,0,0,3842,6500,4000,46342,1000,1000,0,0,0,0,0,0,0,0,0
1975:Q3,3828,3828,914,914,4184,75,1430,0,2679,0,0,0,0,0,34000,0,0,7003,4268,4000,49271,1500,1500,0,0,0,0,0,0,0,0,0
1975:Q4,4011,4011,929,929,4376,84,1587,0,2705,0,0,0,0,0,35500,0,0,9913,5087,3500,54000,2000,2000,0,0,0,0,0,0,0,0,0
1976:Q1,4166,4166,945,945,4561,89,1645,0,2827,0,0,0,0,0,36500,0,0,10437,5563,3500,56000,2250,2250,0,0,0,0,0,0,0,0,0
1976:Q2,4530,4530,959,959,4635,93,1703,0,2839,0,0,0,0,0,37400,0,0,11326,5674,3600,58000,2500,2500,0,0,0,0,0,0,0,0,0
1976:Q3,4874,4874,965,965,4698,95,1739,0,2864,0,0,0,0,0,38500,0,0,12202,5798,3500,60000,2750,2750,0,0,0,0,0,0,0,0,0
1976:Q4,5112,5112,983,983,4857,102,1866,0,2889,0,0,0,0,0,40040,0,0,13232,5889,3600,62761,3000,3000,0,0,0,0,0,0,0,0,0
1977:Q1,5297,5297,990,990,5224,107,1942,0,3175,0,0,0,0,0,41400,0,0,13054,5946,3600,64000,3250,3250,0,0,0,0,0,0,0,0,0
1977:Q2,5524,5524,1000,1000,5302,111,1993,0,3198,0,0,0,0,0,42400,0,0,13530,6470,3600,66000,3500,3500,0,0,0,0,0,0,0,0,0
1977:Q3,5767,5767,1016,1016,5350,113,2011,0,3226,0,0,0,0,0,43400,0,0,14304,6696,3600,68000,3750,3750,0,0,0,0,0,0,0,0,0
1977:Q4,5982,5982,1029,1029,5554,121,2138,0,3295,0,0,0,0,0,46448,0,0,13653,7240,3700,71041,4000,4000,0,0,0,0,0,0,0,0,0
1978:Q1,6274,6274,1048,1048,6083,128,2217,0,3738,0,0,0,0,0,47200,0,0,13600,7900,3800,72500,4500,4500,0,0,0,0,0,0,0,0,0
1978:Q2,6416,6416,1056,1056,6283,132,2333,0,3818,0,0,0,0,0,49490,0,0,15726,6274,2510,74000,4775,4775,0,0,0,0,0,0,0,0,0
1978:Q3,6608,6608,1062,1062,6490,137,2428,0,3925,0,0,0,0,0,50454,0,0,16102,6398,2546,75500,5050,5050,0,0,0,0,0,0,0,0,0
1978:Q4,6849,6849,1078,1078,6777,143,2514,0,4120,0,0,0,0,0,52223,0,0,16924,6738,2711,78596,5325,5325,0,0,0,0,0,0,0,0,0
1979:Q1,7012,7012,1113,1113,7195,149,2576,0,4470,0,0,0,0,0,52815,0,0,16358,7942,3385,80500,5600,5600,0,0,0,0,0,0,0,0,0
1979:Q2,7158,7158,1126,1126,7455,160,2698,0,4597,0,0,0,0,0,53238,0,0,16402,8698,4162,82500,5875,5875,0,0,0,0,0,0,0,0,0
1979:Q3,7291,7291,1135,1135,7720,166,2787,0,4767,0,0,0,0,0,55387,0,0,18210,8090,3313,85000,6150,6150,0,0,0,0,0,0,0,0,0
1979:Q4,7401,7401,1145,1145,8328,176,3003,0,5149,0,0,0,0,0,58464,0,0,19293,7754,1900,87411,6425,6425,0,0,0,0,0,0,0,0,0
1980:Q1,7617,7617,1159,1159,8162,192,3143,0,4827,0,0,0,0,0,59158,0,0,18599,9401,2842,90000,6700,6700,0,0,0,0,0,0,0,0,0
1980:Q2,7788,7788,1169,1169,8444,201,3268,0,4975,0,0,0,0,0,61506,0,0,19411,9589,2494,93000,6975,6975,4024,8675,12699,0,0,0,0,0,0
1980:Q3,8075,8075,1184,1184,8600,206,3359,0,5035,0,0,0,0,0,63099,0,0,20143,9857,2901,96000,7250,7250,4563,8855,13418,0,0,0,0,0,0
1980:Q4,8196,8196,1203,1203,9010,220,3630,0,5160,0,0,0,0,0,63207,0,0,21425,11336,4016,99984,7525,7525,3892,8631,12523,0,0,0,0,0,0
1981:Q1,8391,8391,1227,1227,9308,230,3730,0,5348,0,0,0,0,0,66080,0,0,15571,12229,4120,98000,7800,7800,4566,9522,14088,0,0,0,0,0,0
1981:Q2,8714,8714,1246,1246,9697,244,3885,0,5568,0,0,0,0,0,68997,0,0,14111,14568,6384,104060,8075,8075,2775,11592,14367,0,0,0,0,0,0
1981:Q3,9030,9030,1257,1257,9977,257,4038,0,5682,0,0,0,0,0,70658,0,0,11250,18150,9942,110000,8350,8350,2952,14317,17269,0,0,0,0,0,0
1981:Q4,9338,9338,1278,1278,10391,271,4293,0,5827,0,0,0,0,0,75780,0,0,12478,18944,10158,117360,8625,8625,12610,4203,16813,0,0,0,0,0,0
1982:Q1,9551,9551,1298,1298,10652,288,4482,0,5882,0,0,0,0,0,73907,0,0,11657,21343,12593,119500,8900,8900,13446,4482,17928,0,0,0,0,0,0
1982:Q2,9836,9836,1327,1327,10829,288,4439,0,6102,0,0,0,0,0,70162,0,0,9229,25100,17510,122001,9175,9175,15043,5015,20058,0,0,0,0,0,0
1982:Q3,10093,10093,1341,1341,10914,292,4528,0,6094,0,0,0,0,0,82510,0,0,15852,21248,12390,132000,9450,9450,16766,5589,22355,0,0,0,0,0,0
1982:Q4,10345,10345,1359,1359,11249,302,4678,0,6269,0,0,0,0,0,89757,0,0,18684,20779,12335,141555,9725,9725,17067,5689,22756,0,0,0,0,0,0
