date,Federal government defined contribution retirement funds; total financial assets,Federal government defined contribution retirement funds; debt securities; asset,Federal government defined contribution retirement funds; Treasury securities held by Thrift Savings Plan; asset,Federal government retirement funds; agency- and GSE-backed securities held by Thrift Savings Plan; asset,Federal government retirement funds; corporate and foreign bonds held by Thrift Savings Plan; asset,Federal government retirement funds; corporate equities held by Thrift Savings Plan; asset,Federal government; other loans and advances due to federal government defined contribution retirement funds; liability,Federal government defined contribution retirement funds; total financial assets
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0,0,0,0,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,0,0,0,0,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,0,0,0,0,0,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,0,0,0,0,0,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,0,0,0,0,0,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND
2011:Q2,19216,-402496,-404848,1376,976,3416,418296,19216
2011:Q3,16932,451392,449432,1140,820,-16164,-418296,16932
2011:Q4,19720,40560,37076,240,3244,-20840,0,19720
2012:Q1,7436,-660,-4348,2084,1604,8096,0,7436
2012:Q2,22104,24396,19896,2528,1972,-2292,0,22104
2012:Q3,14396,18520,15260,1824,1436,-4124,0,14396
2012:Q4,16332,22584,18576,1464,2544,-6252,0,16332
2013:Q1,4320,-13300,-9392,-2124,-1784,17620,0,4320
2013:Q2,17620,-43820,-40548,-1756,-1516,10240,51200,17620
2013:Q3,18028,-382820,-379628,-1696,-1496,-5972,406820,18028
2013:Q4,64344,482672,484696,-3984,1960,39692,-458020,64344
2014:Q1,15284,6764,12240,-2804,-2672,8520,0,15284
2014:Q2,10388,9856,8424,728,704,532,0,10388
2014:Q3,28576,21160,21208,-24,-24,7416,0,28576
2014:Q4,19324,35720,31948,932,2840,-16396,0,19324
2015:Q1,13796,-236820,-237848,512,516,6936,243680,13796
2015:Q2,12240,-250968,-251768,396,404,-3372,266580,12240
2015:Q3,16224,-275896,-274960,-464,-472,2720,289400,16224
2015:Q4,33548,832004,829320,108,2576,1204,-799660,33548
2016:Q1,13880,25120,24504,300,316,-11240,0,13880
2016:Q2,6600,15112,13440,804,868,-8512,0,6600
2016:Q3,16132,22548,20384,1036,1128,-6416,0,16132
2016:Q4,12968,4616,5824,-1568,360,8352,0,12968
2017:Q1,14312,-422200,-422540,160,180,5960,430552,14312
2017:Q2,13748,-128188,-128804,288,328,6776,135160,13748
2017:Q3,14336,538096,535740,1108,1248,-6228,-517532,14336
2017:Q4,-9472,-594624,-594820,156,40,26620,558532,-9472
2018:Q1,23572,629620,630500,-412,-468,664,-606712,23572
2018:Q2,37700,41780,41676,48,56,-4080,0,37700
2018:Q3,29840,35148,34616,248,284,-5308,0,29840
2018:Q4,-44052,32016,32016,-1192,1192,-76068,0,-44052
2019:Q1,13864,-849632,-851764,992,1140,2244,861252,13864
2019:Q2,14140,18012,15396,1216,1400,-9564,5692,14140
2019:Q3,15396,803692,800948,1276,1468,-13740,-774556,15396
2019:Q4,-50968,33872,33000,1288,-416,7548,-92388,-50968
2020:Q1,8980,59784,64012,-1956,-2272,-50804,0,8980
2020:Q2,73696,51968,46388,2580,3000,21728,0,73696
2020:Q3,23040,44712,39236,2532,2944,-21672,0,23040
2020:Q4,-6116,30672,26380,2956,1336,-36788,0,-6116
2021:Q1,17092,-4632,-2944,-776,-912,21724,0,17092
2021:Q2,25952,9348,10348,-460,-540,16604,0,25952
2021:Q3,-9580,-716940,-716252,-316,-372,-14868,722228,-9580
2021:Q4,11780,677512,678112,-276,-324,17048,-682780,11780
