1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1968:Q2,5050,0,1269,1269,0,0,0,0,3781,5050
1968:Q3,4460,0,-9,-9,0,0,0,0,4469,4460
1968:Q4,4610,0,34,34,0,0,0,0,4576,4610
1969:Q1,4580,0,127,127,0,0,0,0,4453,4580
1969:Q2,5378,0,1116,1116,0,0,0,0,4262,5378
1969:Q3,5171,0,305,305,0,0,0,0,4866,5171
1969:Q4,5333,0,-29,-29,0,0,0,0,5362,5333
1970:Q1,5662,0,38,38,0,0,0,0,5624,5662
1970:Q2,6775,0,1725,1725,0,0,0,0,5050,6775
1970:Q3,6376,0,136,136,0,0,0,0,6240,6376
1970:Q4,6636,0,482,482,0,0,0,0,6154,6636
1971:Q1,6691,0,198,198,0,0,0,0,6493,6691
1971:Q2,7598,0,1857,1857,0,0,0,0,5741,7598
1971:Q3,6964,0,231,231,0,0,0,0,6733,6964
1971:Q4,7218,0,557,557,0,0,0,0,6661,7218
1972:Q1,7148,0,-82,-82,0,0,0,0,7230,7148
1972:Q2,8088,0,2134,2134,0,0,0,0,5954,8088
1972:Q3,7368,0,270,270,0,0,0,0,7098,7368
1972:Q4,7490,0,671,671,0,0,0,0,6819,7490
1973:Q1,7356,0,-182,-182,0,0,0,0,7538,7356
1973:Q2,8399,0,2315,2315,0,0,0,0,6084,8399
1973:Q3,7570,0,-304,-304,0,0,0,0,7874,7570
1973:Q4,7786,0,306,306,0,0,0,0,7480,7786
1974:Q1,7601,0,-386,-386,0,0,0,0,7987,7601
1974:Q2,8709,0,3799,3799,0,0,0,0,4910,8709
1974:Q3,7641,0,-786,-786,0,0,0,0,8427,7641
1974:Q4,7818,0,112,112,0,0,0,0,7706,7818
1975:Q1,7683,0,-409,-409,0,0,0,0,8092,7683
1975:Q2,8737,0,5096,5096,0,0,0,0,3641,8737
1975:Q3,7635,0,-1081,-1081,0,0,0,0,8716,7635
1975:Q4,7892,0,99,99,0,0,0,0,7793,7892
1976:Q1,8023,0,-738,-738,0,0,0,0,8761,8023
1976:Q2,9169,0,6358,6358,0,0,0,0,2811,9169
1976:Q3,7868,0,-1369,-1369,0,0,0,0,9237,7868
1976:Q4,8445,0,345,345,0,0,0,0,8100,8445
1977:Q1,8066,0,-1191,-1191,0,0,0,0,9257,8066
1977:Q2,9665,0,1462,1462,0,0,0,0,8203,9665
1977:Q3,8772,0,6174,6174,0,0,0,0,2598,8772
1977:Q4,9399,0,130,130,0,0,0,0,9269,9399
1978:Q1,9615,0,-1266,-1266,0,0,0,0,10881,9615
1978:Q2,11397,0,1459,1459,0,0,0,0,9938,11397
1978:Q3,10177,0,6228,6228,0,0,0,0,3949,10177
1978:Q4,10890,0,606,606,0,0,0,0,10284,10890
1979:Q1,10247,0,-1708,-1708,0,0,0,0,11955,10247
1979:Q2,11750,0,1495,1495,0,0,0,0,10255,11750
1979:Q3,10517,0,7561,7561,0,0,0,0,2956,10517
1979:Q4,11084,0,652,652,0,0,0,0,10432,11084
1980:Q1,10472,0,-2098,-2098,0,0,0,0,12570,10472
1980:Q2,11776,0,1197,1197,0,0,0,0,10579,11776
1980:Q3,10680,0,9566,9566,0,0,0,0,1114,10680
1980:Q4,11228,0,259,259,0,0,0,0,10969,11228
1981:Q1,10682,0,-2744,-2744,0,0,0,0,13426,10682
1981:Q2,12317,0,1214,1214,0,0,0,0,11103,12317
1981:Q3,11122,0,11242,11242,0,0,0,0,-120,11122
1981:Q4,11473,0,284,284,0,0,0,0,11189,11473
1982:Q1,11402,0,-2866,-2866,0,0,0,0,14268,11402
1982:Q2,13115,0,2032,2032,0,0,0,0,11083,13115
1982:Q3,11827,0,12171,12171,0,0,0,0,-344,11827
1982:Q4,11734,0,729,729,0,0,0,0,11005,11734
