date,Domestic nonfinancial sectors; gross saving less net capital transfers paid,Domestic nonfinancial sectors; gross investment,Domestic nonfinancial sectors; total capital expenditures,Households and nonprofit organizations; gross fixed investment, consumer durable goods,Domestic nonfinancial sectors; gross fixed investment, residential equipment and structures,Domestic nonfinancial sectors; gross fixed investment, nonresidential structures, equipment, and intellectual property products,Nonfinancial business; inventories,Domestic nonfinancial sectors; acquisition of nonproduced nonfinancial assets (net),Domestic nonfinancial sectors; net lending (+) or borrowing (-) (financial account),Domestic nonfinancial sectors; total financial assets,Federal government; U.S. official reserve assets,Domestic nonfinancial sectors; private foreign deposits; asset,Domestic nonfinancial sectors; checkable deposits and currency; asset,Domestic nonfinancial sectors; total time and savings deposits; asset,Domestic nonfinancial sectors; money market fund shares; asset,Domestic nonfinancial sectors; security repurchase agreements; asset,Domestic nonfinancial sectors; debt securities; asset,Domestic nonfinancial sectors; commercial paper; asset,Domestic nonfinancial sectors; Treasury securities; asset,Domestic nonfinancial sectors; agency- and GSE-backed securities; asset,Domestic nonfinancial sectors; municipal securities; asset,Domestic nonfinancial sectors; corporate and foreign bonds; asset,Domestic nonfinancial sectors; loans; asset,Domestic nonfinancial sectors; other loans and advances; asset,Domestic nonfinancial sectors; total mortgages; asset,Domestic nonfinancial sectors; consumer credit; asset,Domestic nonfinancial sectors; corporate equities; asset,Domestic nonfinancial sectors; mutual fund shares; asset,Domestic nonfinancial sectors; trade receivables; asset,Households and nonprofit organizations; life insurance reserves; asset,Households and nonprofit organizations; pension entitlements; asset,Domestic nonfinancial sectors; taxes receivable; asset,Households and nonprofit organizations; proprietors' equity in noncorporate business,Nonfinancial corporate business; U.S. direct investment abroad (market value); asset,Domestic nonfinancial sectors; total miscellaneous assets,Domestic nonfinancial sectors; total liabilities and equity,Domestic nonfinancial sectors; total liabilities,Federal government; special drawing rights (SDRs) allocations; liability,Monetary authority; SDR certificates issued by federal government; asset,Federal government; Treasury currency; liability,Domestic nonfinancial sectors; debt securities; liability,Nonfinancial corporate business; commercial paper; liability,Federal government; Treasury securities; liability,Federal government; budget agency securities; liability,Domestic nonfinancial sectors; municipal securities; liability,Nonfinancial corporate business; corporate bonds; liability,Domestic nonfinancial sectors; loans; liability,Domestic nonfinancial sectors; depository institution loans n.e.c.; liability,Domestic nonfinancial sectors; other loans and advances; liability,Domestic nonfinancial sectors; total mortgages; liability,Households and nonprofit organizations; consumer credit; liability,Domestic nonfinancial sectors; trade payables; liability,Federal government; life insurance reserves; liability,Nonfinancial business; taxes payable; liability,Nonfinancial business; foreign direct investment in U.S.: intercompany debt; liability (market value),Domestic nonfinancial sectors; total miscellaneous liabilities,Nonfinancial business; equity and investment fund shares excluding mutual fund shares and money market fund shares; liability (IMA),Nonfinancial corporate business; corporate equities; liability,Nonfinancial noncorporate business; proprietors' equity in noncorporate business,Nonfinancial business; foreign direct investment in U.S.; liability (market value),Domestic nonfinancial sectors; sector discrepancy
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,82481,89873,81047,22947,15982,36460,5658,0,8827,36607,399,-41,-757,2478,0,0,2233,51,1701,144,293,44,3530,1311,1312,907,915,148,2202,2843,7357,8415,4821,695,1369,27780,21893,0,0,-5,742,-6,-5733,847,1334,4300,11693,702,587,7370,3034,2942,213,775,-37,5570,5887,1000,4821,66,-7392
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,72396,79892,74826,25176,15184,37158,-2692,0,5067,26814,149,0,-280,2811,0,0,2402,85,3349,-66,-559,-407,2341,788,917,636,561,275,-934,2751,7904,5434,1414,631,1355,21747,19058,0,0,-19,7502,-4,3528,89,986,2903,7831,-2010,688,6111,3042,192,84,-2302,-17,5787,2689,1212,1414,63,-7496
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,93561,100003,97809,30690,21104,40245,5770,0,2194,58307,-284,47,4340,2474,0,0,4717,-122,2926,-8,2192,-271,3266,657,1314,1295,766,211,11899,2945,8430,15798,2102,585,1011,56113,52574,0,0,-10,5799,45,227,-622,4525,1624,21124,4740,1382,10429,4573,10512,309,7255,-69,7655,3539,1288,2102,149,-6442
