1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1979:Q2,25915,2298,7743,757,14505,10684,1988,1833,0,0,612,25915,25915,0,0,0,0,0
1979:Q3,34194,3856,10538,1250,17780,13471,1224,3085,0,0,770,34194,34194,0,0,0,0,0
1979:Q4,45214,5109,11987,2412,24939,19298,1621,4020,0,0,767,45214,45214,0,0,0,0,0
1980:Q1,61292,6316,14140,2634,37719,26145,7004,3607,756,207,483,61292,61292,0,0,0,0,0
1980:Q2,77827,7056,16381,3721,49323,36314,5272,5725,1659,353,1346,77827,77827,0,0,0,0,0
1980:Q3,79901,8657,19364,2908,47961,32261,7450,5399,2469,382,1011,79901,79901,0,0,0,0,0
1980:Q4,76415,6769,21201,5643,42048,31561,3474,4754,1967,292,754,76415,76415,0,0,0,0,0
1981:Q1,114223,10754,29918,4993,70044,46244,14518,6345,2679,258,-1486,114223,114223,0,0,0,0,0
1981:Q2,129871,14174,31980,7550,75683,55351,9023,7403,3363,543,484,129871,129871,0,0,0,0,0
1981:Q3,164470,17072,40438,10114,96446,71137,11419,9655,3630,605,400,164470,164470,0,0,0,0,0
1981:Q4,186305,18846,44363,14529,107489,70399,21519,10370,4395,806,1078,186305,186305,0,0,0,0,0
1982:Q1,198732,22466,41765,17285,116826,73065,25560,9889,7261,1051,390,198732,198732,0,0,0,0,0
1982:Q2,209680,23204,45464,16738,122838,78219,22402,13287,8085,845,1436,209680,209680,0,0,0,0,0
1982:Q3,235246,22819,50960,18906,140457,74799,38221,15137,11626,674,2104,235246,235246,0,0,0,0,0
1982:Q4,219928,23759,41101,16224,137553,69112,42646,11972,13321,502,1291,219928,219928,0,0,0,0,0
1983:Q1,197336,19182,30600,13238,133936,61832,44873,9759,17025,447,380,197336,197336,0,0,0,0,0
1983:Q2,180893,19644,26372,12050,122464,66325,28279,11091,16262,507,363,180893,180893,0,0,0,0,0
1983:Q3,179590,19890,24823,14799,119983,68790,22074,12022,16584,513,95,179590,179590,0,0,0,0,0
1983:Q4,179467,21911,24289,13029,119697,66161,22839,13375,16918,404,541,179467,179467,0,0,0,0,0
1984:Q1,195074,23774,20900,17610,132316,75307,19374,15729,21392,514,474,195074,195074,0,0,0,0,0
