1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1986:Q4,13415,0,0,3066,6,634,2426,10349,12549,6690,3739,949,2790,921,1869,2120
1987:Q1,14820,0,0,3191,7,660,2524,11629,13647,6973,3946,1065,2881,951,1930,2728
1987:Q2,16853,0,0,3176,7,657,2512,13677,15665,8872,4066,1181,2885,952,1933,2727
1987:Q3,18674,0,0,3359,7,700,2652,15315,17910,10550,4224,1302,2922,964,1958,3136
1987:Q4,20920,0,0,3613,7,753,2853,17307,20025,12068,4524,1414,3110,1026,2084,3433
1988:Q1,21297,0,0,3769,7,785,2977,17528,21355,12452,4696,1599,3097,1022,2075,4207
1988:Q2,21886,0,0,3790,7,789,2994,18096,22066,12876,4991,1876,3115,1028,2087,4199
1988:Q3,22721,0,0,4072,8,848,3216,18649,23007,12913,5051,1960,3091,1020,2071,5043
1988:Q4,25343,0,0,4505,9,938,3558,20838,25240,13482,6267,2884,3383,1116,2267,5491
1989:Q1,25985,0,0,4365,8,909,3448,21620,24799,14060,7003,3572,3431,1132,2299,3736
1989:Q2,27286,0,0,4332,8,902,3422,22954,25369,14271,7131,3680,3451,1139,2312,3967
1989:Q3,27504,0,0,4253,8,886,3359,23251,25474,14429,7319,3739,3580,1181,2399,3726
1989:Q4,27450,0,0,4339,8,904,3427,23111,25890,14236,7514,3804,3710,1224,2486,4140
1990:Q1,26784,0,0,4298,8,895,3395,22486,25734,14040,7709,3869,3840,1267,2573,3985
1990:Q2,25702,0,0,4282,8,892,3382,21420,25637,14412,7904,3934,3970,1310,2660,3321
1990:Q3,24877,0,0,4271,8,890,3373,20606,25797,13737,8199,3999,4200,1386,2814,3861
1990:Q4,25291,0,0,3980,8,829,3143,21311,25721,14282,8394,4064,4330,1429,2901,3045
1991:Q1,24956,0,0,3862,7,778,3077,21094,26206,14658,8529,4129,4400,1452,2948,3019
