date,Mutual funds; undistributed corporate profits; gross saving; net saving,Mutual funds; total financial assets,Mutual funds; money market fund shares; asset,Mutual funds; security repurchase agreements (net); asset,Mutual funds; debt securities; asset (market value),Mutual funds; commercial paper; asset,Mutual funds; Treasury securities; asset (market value),Mutual funds; agency- and GSE-backed securities; asset (market value),Mutual funds; municipal securities; asset (market value),Mutual funds; corporate and foreign bonds; asset (market value),Mutual funds; syndicated loans to nonfinancial corporate business; asset,Mutual funds; corporate equities; asset,Mutual funds; unidentified miscellaneous assets,Mutual funds; mutual fund shares; liability,Mutual funds; sector discrepancy,Variable annuity mutual funds; total financial assets (market value),Mutual funds; total financial assets in domestic equity funds,Mutual funds; total financial assets in world equity funds,Mutual funds; total financial assets in hybrid funds,Mutual funds; total financial assets in taxable bond funds,Mutual funds; total financial assets in municipal bond funds
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,-27,211,0,7,79,7,25,0,0,47,0,125,0,211,-27,0,ND,ND,ND,ND,ND
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,-32,266,0,23,64,23,0,0,0,41,0,179,0,266,-32,0,ND,ND,ND,ND,ND
1952:Q1,36,524,0,20,156,20,32,0,0,104,0,348,0,524,36,0,ND,ND,ND,ND,ND
1952:Q2,56,512,0,-44,36,-44,16,0,0,64,0,520,0,512,56,0,ND,ND,ND,ND,ND
1952:Q3,0,524,0,-24,24,-24,12,0,0,36,0,524,0,524,0,0,ND,ND,ND,ND,ND
1952:Q4,-188,460,0,28,92,28,-56,0,0,120,0,340,0,460,-188,0,ND,ND,ND,ND,ND
1953:Q1,24,492,0,12,12,12,40,0,0,-40,0,468,0,492,24,0,ND,ND,ND,ND,ND
1953:Q2,-36,332,0,-36,-88,-36,-24,0,0,-28,0,456,0,332,-36,0,ND,ND,ND,ND,ND
1953:Q3,-56,336,0,-8,16,-8,28,0,0,-4,0,328,0,336,-56,0,ND,ND,ND,ND,ND
1953:Q4,-28,372,0,76,92,76,-48,0,0,64,0,204,0,372,-28,0,ND,ND,ND,ND,ND
1954:Q1,0,340,0,-16,192,-16,76,0,0,132,0,164,0,340,0,0,ND,ND,ND,ND,ND
1954:Q2,0,200,0,-20,52,-20,-44,0,0,116,0,168,0,200,0,0,ND,ND,ND,ND,ND
1954:Q3,-32,496,0,12,160,12,24,0,0,124,0,324,0,496,-32,0,ND,ND,ND,ND,ND
1954:Q4,-376,648,0,24,92,24,44,0,0,24,0,532,0,648,-376,0,ND,ND,ND,ND,ND
1955:Q1,-100,508,0,68,24,68,-8,0,0,-36,0,416,0,508,-100,0,ND,ND,ND,ND,ND
1955:Q2,-32,464,0,-12,204,-12,108,0,0,108,0,272,0,464,-32,0,ND,ND,ND,ND,ND
1955:Q3,-104,728,0,48,268,48,216,0,0,4,0,412,0,728,-104,0,ND,ND,ND,ND,ND
1955:Q4,-596,588,0,-48,100,-48,88,0,0,60,0,536,0,588,-596,0,ND,ND,ND,ND,ND
1956:Q1,-216,1204,0,172,384,172,-68,0,0,280,0,648,0,1204,-216,0,ND,ND,ND,ND,ND
1956:Q2,-40,108,0,-144,-360,-144,-68,0,0,-148,0,612,0,108,-40,0,ND,ND,ND,ND,ND
1956:Q3,-92,1364,0,84,796,84,176,0,0,536,0,484,0,1364,-92,0,ND,ND,ND,ND,ND
1956:Q4,-700,468,0,-48,104,-48,44,0,0,108,0,412,0,468,-700,0,ND,ND,ND,ND,ND
1957:Q1,-304,892,0,52,172,52,16,0,0,104,0,668,0,892,-304,0,ND,ND,ND,ND,ND
1957:Q2,-36,860,0,20,388,20,48,0,0,320,0,452,0,860,-36,0,ND,ND,ND,ND,ND
1957:Q3,-32,860,0,-28,-100,-28,-4,0,0,-68,0,988,0,860,-32,0,ND,ND,ND,ND,ND
1957:Q4,-568,728,0,16,56,16,-56,0,0,96,0,656,0,728,-568,0,ND,ND,ND,ND,ND
1958:Q1,-276,1304,0,120,472,120,148,0,0,204,0,712,0,1304,-276,0,ND,ND,ND,ND,ND
1958:Q2,80,1812,0,120,720,120,348,0,0,252,0,972,0,1812,80,0,ND,ND,ND,ND,ND
1958:Q3,48,1488,0,-44,-4,-44,-180,0,0,220,0,1536,0,1488,48,0,ND,ND,ND,ND,ND
1958:Q4,-608,1028,0,-220,-96,-220,180,0,0,-56,0,1344,0,1028,-608,0,ND,ND,ND,ND,ND
1959:Q1,120,1724,0,128,300,128,124,0,0,48,0,1296,0,1724,120,0,ND,ND,ND,ND,ND
1959:Q2,108,1224,0,8,136,8,0,0,0,128,0,1080,0,1224,108,0,ND,ND,ND,ND,ND
1959:Q3,132,1484,0,144,548,144,340,0,0,64,0,792,0,1484,132,0,ND,ND,ND,ND,ND
1959:Q4,188,1244,0,-140,400,-140,156,0,0,384,0,984,0,1244,188,0,ND,ND,ND,ND,ND
1960:Q1,148,1272,0,112,196,112,196,0,0,-112,0,964,0,1272,148,0,ND,ND,ND,ND,ND
1960:Q2,48,1412,0,36,284,36,40,0,0,208,0,1092,0,1412,48,0,ND,ND,ND,ND,ND
1960:Q3,-60,1072,0,80,348,80,-28,0,0,296,0,644,0,1072,-60,0,ND,ND,ND,ND,ND
1960:Q4,152,440,0,-128,148,-128,44,0,0,232,0,420,0,440,152,0,ND,ND,ND,ND,ND
1961:Q1,120,1716,0,252,192,252,-320,0,0,260,0,1272,0,1716,120,0,ND,ND,ND,ND,ND
1961:Q2,8,1320,0,-148,-220,-148,-112,0,0,40,0,1688,0,1320,8,0,ND,ND,ND,ND,ND
1961:Q3,-44,1548,0,212,496,212,152,0,0,132,0,840,0,1548,-44,0,ND,ND,ND,ND,ND
1961:Q4,44,2100,0,-328,1156,-328,556,0,0,928,0,1272,0,2100,44,0,ND,ND,ND,ND,ND
1962:Q1,72,1656,0,568,-116,568,-144,0,0,-540,0,1204,0,1656,72,0,ND,ND,ND,ND,ND
1962:Q2,-32,1900,0,-248,-248,-248,-564,0,0,564,0,2396,0,1900,-32,0,ND,ND,ND,ND,ND
1962:Q3,64,560,0,76,968,76,1112,0,0,-220,0,-484,0,560,64,0,ND,ND,ND,ND,ND
1962:Q4,212,884,0,64,172,64,-208,0,0,316,0,648,0,884,212,0,ND,ND,ND,ND,ND
1963:Q1,88,960,0,108,12,108,-76,0,0,-20,0,840,0,960,88,0,ND,ND,ND,ND,ND
1963:Q2,44,528,0,-108,-636,-108,-516,0,0,-12,0,1272,0,528,44,0,ND,ND,ND,ND,ND
1963:Q3,32,1380,0,-12,928,-12,556,0,0,384,0,464,0,1380,32,0,ND,ND,ND,ND,ND
1963:Q4,-64,1000,0,84,416,84,0,0,0,332,0,500,0,1000,-64,0,ND,ND,ND,ND,ND
1964:Q1,-204,240,0,-68,284,-68,380,0,0,-28,0,24,0,240,-204,0,ND,ND,ND,ND,ND
1964:Q2,-276,1444,0,176,792,176,32,0,0,584,0,476,0,1444,-276,0,ND,ND,ND,ND,ND
1964:Q3,-280,1372,0,-284,332,-284,320,0,0,296,0,1324,0,1372,-280,0,ND,ND,ND,ND,ND
1964:Q4,-332,1704,0,72,88,72,-576,0,0,592,0,1544,0,1704,-332,0,ND,ND,ND,ND,ND
1965:Q1,-88,2240,0,424,1392,424,228,0,0,740,0,424,0,2240,-88,0,ND,ND,ND,ND,ND
1965:Q2,-124,772,0,72,-384,72,-744,0,0,288,0,1084,0,772,-124,0,ND,ND,ND,ND,ND
1965:Q3,-180,3284,0,132,1492,132,1096,0,0,264,0,1660,0,3284,-180,0,ND,ND,ND,ND,ND
1965:Q4,-188,2304,0,232,156,232,-404,0,0,328,0,1916,0,2304,-188,0,ND,ND,ND,ND,ND
1966:Q1,196,4132,0,-12,1788,-12,976,0,0,824,0,2356,0,4132,196,0,ND,ND,ND,ND,ND
1966:Q2,184,1764,0,360,1080,360,464,0,0,256,0,324,0,1764,184,0,ND,ND,ND,ND,ND
1966:Q3,96,1880,0,844,1488,844,1112,0,0,-468,0,-452,0,1880,96,0,ND,ND,ND,ND,ND
1966:Q4,84,2152,0,-108,676,-108,-48,0,0,832,0,1584,0,2152,84,0,ND,ND,ND,ND,ND
1967:Q1,312,1972,0,-136,-1136,-136,-880,0,0,-120,0,3244,0,1972,312,0,ND,ND,ND,ND,ND
1967:Q2,164,16,0,272,-1888,272,-1260,0,0,-900,0,1632,0,16,164,0,ND,ND,ND,ND,ND
1967:Q3,180,2488,0,-104,-872,-104,-832,0,0,64,0,3464,0,2488,180,0,ND,ND,ND,ND,ND
1967:Q4,220,-96,0,192,656,192,908,0,0,-444,0,-944,0,-96,220,0,ND,ND,ND,ND,ND
1968:Q1,196,4120,0,2212,2436,2212,984,0,0,-760,0,-528,0,4120,196,0,ND,ND,ND,ND,ND
1968:Q2,292,364,0,-1052,-2368,-1052,-480,0,0,-836,0,3784,0,364,292,0,ND,ND,ND,ND,ND
1968:Q3,-104,3680,0,232,1312,232,1432,0,0,-352,0,2136,0,3680,-104,0,ND,ND,ND,ND,ND
1968:Q4,76,1884,0,-596,-2104,-596,-1048,0,0,-460,0,4584,0,1884,76,0,ND,ND,ND,ND,ND
1969:Q1,136,4216,0,1432,4132,1432,1712,0,0,988,0,-1348,0,4216,136,0,ND,ND,ND,ND,ND
1969:Q2,92,1820,0,436,-1604,436,-2448,0,0,408,0,2988,0,1820,92,0,ND,ND,ND,ND,ND
1969:Q3,72,5040,0,812,2296,812,204,0,0,1280,0,1932,0,5040,72,0,ND,ND,ND,ND,ND
1969:Q4,100,2248,0,-424,-756,-424,-1340,0,0,1008,0,3428,0,2248,100,0,ND,ND,ND,ND,ND
1970:Q1,76,2008,0,796,1776,796,-796,0,0,1776,0,-564,0,2008,76,0,ND,ND,ND,ND,ND
1970:Q2,-128,2092,0,-3472,5396,-3472,8348,0,0,520,0,168,0,2092,-128,0,ND,ND,ND,ND,ND
1970:Q3,-128,2696,0,3876,-2924,3876,-6964,0,0,164,0,1744,0,2696,-128,0,ND,ND,ND,ND,ND
1970:Q4,-128,-496,0,-1944,-1912,-1944,112,0,0,-80,0,3360,0,-496,-128,0,ND,ND,ND,ND,ND
1971:Q1,-84,784,0,-728,-1044,-728,168,0,0,-484,0,2556,0,784,-84,0,ND,ND,ND,ND,ND
1971:Q2,0,216,0,-484,-628,-484,-1020,0,0,876,0,1328,0,216,0,0,ND,ND,ND,ND,ND
1971:Q3,-112,-784,0,-280,-1496,-280,-720,0,0,-496,0,992,0,-784,-112,0,ND,ND,ND,ND,ND
1971:Q4,20,252,0,1100,2344,1100,408,0,0,836,0,-3192,0,252,20,0,ND,ND,ND,ND,ND
1972:Q1,4,972,0,180,1244,180,-4,0,0,1068,0,-452,0,972,4,0,ND,ND,ND,ND,ND
1972:Q2,100,-2528,0,-496,-336,-496,48,0,0,112,0,-1696,0,-2528,100,0,ND,ND,ND,ND,ND
1972:Q3,16,-504,0,476,1684,476,568,0,0,640,0,-2664,0,-504,16,0,ND,ND,ND,ND,ND
1972:Q4,-164,-3784,0,-676,-584,-676,-92,0,0,184,0,-2524,0,-3784,-164,0,ND,ND,ND,ND,ND
1973:Q1,24,-48,0,1896,1764,1896,-832,0,0,700,0,-3708,0,-48,24,0,ND,ND,ND,ND,ND
1973:Q2,-208,-1260,0,616,496,616,324,0,0,-444,0,-2372,0,-1260,-208,0,ND,ND,ND,ND,ND
1973:Q3,-480,-328,0,716,932,716,480,0,0,-264,0,-1976,0,-328,-480,0,ND,ND,ND,ND,ND
1973:Q4,-384,-2876,0,-1236,-720,-1236,-88,0,0,604,0,-920,0,-2876,-384,0,ND,ND,ND,ND,ND
1974:Q1,-380,1040,0,344,1956,344,796,0,0,816,0,-1260,0,1040,-380,0,ND,ND,ND,ND,ND
1974:Q2,-332,-400,0,456,-256,456,-1456,0,0,744,0,-600,0,-400,-332,0,ND,ND,ND,ND,ND
1974:Q3,-188,-136,0,-712,576,-712,1324,0,0,-36,0,0,0,-136,-188,0,ND,ND,ND,ND,ND
1974:Q4,24,-300,0,-1144,744,-1144,1132,0,0,756,0,100,0,-300,24,0,ND,ND,ND,ND,ND
1975:Q1,-64,2316,0,544,220,544,-1296,0,0,972,0,1552,0,2316,-64,0,ND,ND,ND,ND,ND
1975:Q2,-68,-848,0,-792,664,-792,656,0,0,800,0,-720,0,-848,-68,0,ND,ND,ND,ND,ND
1975:Q3,-152,-1096,0,-1076,1644,-1076,2176,0,0,544,0,-1664,0,-1096,-152,0,ND,ND,ND,ND,ND
1975:Q4,-112,-1804,0,1060,-4,1060,-1708,0,0,644,0,-2860,0,-1804,-112,0,ND,ND,ND,ND,ND
1976:Q1,-148,-1876,0,-2472,-1428,-2472,1476,0,0,-432,0,2024,0,-1876,-148,0,ND,ND,ND,ND,ND
1976:Q2,-168,-4132,0,76,-192,76,-956,0,92,596,0,-4016,0,-4132,-168,0,ND,ND,ND,ND,ND
1976:Q3,-288,-3008,0,-688,684,-688,688,0,352,332,0,-3004,0,-3008,-288,0,ND,ND,ND,ND,ND
1976:Q4,-244,-1072,0,1012,2440,1012,-1128,0,1656,900,0,-4524,0,-1072,-244,0,ND,ND,ND,ND,ND
1977:Q1,-232,-1644,0,-132,3352,-132,1128,0,1836,520,0,-4864,0,-1644,-232,0,ND,ND,ND,ND,ND
1977:Q2,-276,3152,0,1508,4380,1508,468,0,1676,728,0,-2736,0,3152,-276,0,ND,ND,ND,ND,ND
1977:Q3,-316,2004,0,772,5876,772,1020,0,1888,2196,0,-4644,0,2004,-316,0,ND,ND,ND,ND,ND
1977:Q4,-172,-864,0,-100,1932,-100,92,0,1120,820,0,-2696,0,-864,-172,0,ND,ND,ND,ND,ND
1978:Q1,-28,2188,0,1812,3200,1812,280,0,1728,-620,0,-2824,0,2188,-28,0,ND,ND,ND,ND,ND
1978:Q2,52,-1792,0,108,-260,108,-60,0,212,-520,0,-1640,0,-1792,52,0,ND,ND,ND,ND,ND
1978:Q3,32,-2184,0,-1544,-1728,-1544,-280,0,572,-476,0,1088,0,-2184,32,0,ND,ND,ND,ND,ND
1978:Q4,68,-1712,0,1816,-340,1816,-656,0,-400,-1100,0,-3188,0,-1712,68,0,ND,ND,ND,ND,ND
1979:Q1,28,-180,0,-164,2684,-164,552,0,1320,976,0,-2700,0,-180,28,0,ND,ND,ND,ND,ND
1979:Q2,-16,492,0,8,4060,8,-880,0,2588,2344,0,-3576,0,492,-16,0,ND,ND,ND,ND,ND
1979:Q3,-272,-1644,0,324,1564,324,-492,0,1636,96,0,-3532,0,-1644,-272,0,ND,ND,ND,ND,ND
1979:Q4,-408,-2000,0,-468,-160,-468,628,0,-120,-200,0,-1372,0,-2000,-408,0,ND,ND,ND,ND,ND
1980:Q1,396,-2408,0,512,3203,-85,1024,0,-976,3240,0,-6123,0,-2408,396,1576,ND,ND,ND,ND,ND
1980:Q2,176,5372,0,-904,352,-1488,2756,0,668,-1584,0,5922,2,5372,176,-1404,ND,ND,ND,ND,ND
1980:Q3,1080,3336,0,1788,7897,2345,-1884,0,1956,5480,0,-6348,-1,3336,1080,1576,ND,ND,ND,ND,ND
1980:Q4,972,1704,0,596,1128,1220,-304,0,164,48,0,-19,-1,1704,972,1492,ND,ND,ND,ND,ND
1981:Q1,1216,3956,0,-2168,3738,-2922,3248,0,1648,1764,0,2389,-4,3956,1216,-4,ND,ND,ND,ND,ND
1981:Q2,1608,4404,0,1068,6163,599,-1016,0,1996,4584,0,-2829,1,4404,1608,436,ND,ND,ND,ND,ND
1981:Q3,1612,1816,0,472,7373,885,700,0,2096,3692,0,-6033,4,1816,1612,2476,ND,ND,ND,ND,ND
1981:Q4,1984,3652,0,336,1501,1145,612,0,616,-872,0,1816,-1,3652,1984,1124,ND,ND,ND,ND,ND
1982:Q1,1428,6720,0,224,313,-755,2872,0,464,-2268,0,6184,-1,6720,1428,548,ND,ND,ND,ND,ND
1982:Q2,2792,7040,0,1028,3382,474,1544,0,1436,-72,0,2630,0,7040,2792,856,ND,ND,ND,ND,ND
1982:Q3,2480,10432,0,-1684,-1973,-1553,1308,0,716,-2444,0,14089,0,10432,2480,1412,ND,ND,ND,ND,ND
1982:Q4,2072,13760,0,-204,2015,1199,1220,0,3404,-3808,0,11948,1,13760,2072,1040,ND,ND,ND,ND,ND
1983:Q1,2276,20912,0,2444,9262,754,-1632,1396,7284,1460,0,14738,-5531,20912,2276,-856,ND,ND,ND,ND,ND
1983:Q2,1920,29216,0,1216,14152,908,2556,2036,4840,3812,0,18060,-4212,29216,1920,576,ND,ND,ND,ND,ND
1983:Q3,564,25372,0,-168,5118,-222,-2816,1408,4980,1768,0,15638,4784,25372,564,2436,ND,ND,ND,ND,ND
1983:Q4,-248,24620,0,-368,12632,1684,-1124,1772,5452,4848,0,6288,6068,24620,-248,1996,ND,ND,ND,ND,ND
1984:Q1,464,20306,0,5384,14836,2792,3020,2820,4316,1888,0,12261,-12175,20306,464,2676,ND,ND,ND,ND,ND
1984:Q2,328,14653,0,1804,18665,2005,2964,3472,6848,3376,0,-2080,-3735,14653,328,-540,ND,ND,ND,ND,ND
1984:Q3,1080,37391,0,4268,11017,3465,2660,4296,4180,-3584,0,16841,5266,37391,1080,996,ND,ND,ND,ND,ND
1984:Q4,1756,28157,0,-3228,13183,-33,940,4084,5768,2424,0,6794,11408,28157,1756,1980,ND,ND,ND,ND,ND
1985:Q1,2208,38639,0,-1340,47683,-5009,21976,16124,9996,4596,0,11439,-19142,38639,2208,808,ND,ND,ND,ND,ND
1985:Q2,672,72940,0,1412,55224,2648,17892,11376,17840,5468,0,19343,-3039,72940,672,660,ND,ND,ND,ND,ND
1985:Q3,1156,89804,0,2692,62213,949,26624,16328,14252,4060,0,18960,5938,89804,1156,712,ND,ND,ND,ND,ND
1985:Q4,412,126354,0,-3436,125048,740,59892,36772,17544,10100,0,-15522,20263,126354,412,668,ND,ND,ND,ND,ND
1986:Q1,3856,140614,0,13632,102676,9740,25592,26720,27520,13104,0,46943,-22637,140614,3856,5216,ND,ND,ND,ND,ND
1986:Q2,2960,137456,0,-580,130249,897,38492,39780,24368,26712,0,6176,1611,137456,2960,-44,ND,ND,ND,ND,ND
1986:Q3,4888,143017,0,1348,125467,-1329,37464,43880,32356,13096,0,8510,7692,143017,4888,672,ND,ND,ND,ND,ND
1986:Q4,4236,161473,0,4976,112168,10068,18732,32532,31640,19196,0,19599,24730,161473,4236,792,ND,ND,ND,ND,ND
1987:Q1,-3784,189495,0,12036,198400,8276,66948,50764,43924,28488,0,6250,-27191,189495,-3784,4408,ND,ND,ND,ND,ND
1987:Q2,-5828,41055,0,-1036,8589,361,14388,3560,-8164,-1556,0,36529,-3027,41055,-5828,356,ND,ND,ND,ND,ND
1987:Q3,-6800,22480,0,8320,4422,5358,1440,-7164,-2148,6936,0,-1503,11241,22480,-6800,-192,ND,ND,ND,ND,ND
1987:Q4,-7388,-54242,0,-12468,-80363,-7143,-24364,-27620,-7084,-14152,0,13900,24689,-54242,-7388,-792,ND,ND,ND,ND,ND
1988:Q1,-4980,-8246,0,20632,-4013,17659,-6320,-5356,-7156,-2840,0,8984,-33849,-8246,-4980,-268,ND,ND,ND,ND,ND
1988:Q2,-4652,-6761,0,-12276,29389,-11643,10160,7600,15780,7492,0,-29653,5779,-6761,-4652,-40,ND,ND,ND,ND,ND
1988:Q3,-4116,-7374,0,12168,2324,8744,-5356,-4608,5984,-2440,0,-24271,2406,-7374,-4116,-820,ND,ND,ND,ND,ND
1988:Q4,-3656,-1280,0,-1092,11500,4672,-6040,-5112,9048,8932,0,-36173,24484,-1280,-3656,-40,ND,ND,ND,ND,ND
1989:Q1,-6340,-15633,0,-556,21524,-2948,-1624,-620,22024,4692,0,-1255,-35346,-15633,-6340,-564,ND,ND,ND,ND,ND
1989:Q2,-6848,19699,0,5304,-19064,5300,-18276,-13700,9120,-1508,0,20643,12816,19699,-6848,420,ND,ND,ND,ND,ND
1989:Q3,-6040,48183,0,-1280,29724,-5208,9504,8156,15696,1576,0,9047,10692,48183,-6040,-536,ND,ND,ND,ND,ND
1989:Q4,-5420,64958,0,-5040,6512,1284,-1068,-156,5308,1144,0,38781,24706,64958,-5420,632,ND,ND,ND,ND,ND
1990:Q1,-2008,35441,0,1220,65586,-546,18444,17772,18864,11052,0,4007,-35372,35441,-2008,3007,ND,ND,ND,ND,ND
1990:Q2,32,59449,0,92,18121,-1219,-688,2720,9828,7480,0,26749,14488,59449,32,4533,ND,ND,ND,ND,ND
1990:Q3,-1136,25375,0,3572,19543,-665,384,3580,15748,496,0,-6738,8999,25375,-1136,2723,ND,ND,ND,ND,ND
1990:Q4,-1640,51151,0,-1224,23490,6090,3808,6580,5344,1668,0,11767,17118,51151,-1640,3613,ND,ND,ND,ND,ND
1991:Q1,5048,72548,0,4044,150330,1810,30696,33800,50492,33532,0,-43689,-38138,72548,5048,3665,14464,3972,3256,30900,19500
