date,Mutual funds; undistributed corporate profits; gross saving; net saving,Mutual funds; total financial assets,Mutual funds; money market fund shares; asset,Mutual funds; security repurchase agreements (net); asset,Mutual funds; debt securities; asset (market value),Mutual funds; commercial paper; asset,Mutual funds; Treasury securities; asset (market value),Mutual funds; agency- and GSE-backed securities; asset (market value),Mutual funds; municipal securities; asset (market value),Mutual funds; corporate and foreign bonds; asset (market value),Mutual funds; syndicated loans to nonfinancial corporate business; asset,Mutual funds; corporate equities; asset,Mutual funds; unidentified miscellaneous assets,Mutual funds; mutual fund shares; liability,Mutual funds; sector discrepancy,Variable annuity mutual funds; total financial assets (market value),Mutual funds; total financial assets in domestic equity funds,Mutual funds; total financial assets in world equity funds,Mutual funds; total financial assets in hybrid funds,Mutual funds; total financial assets in taxable bond funds,Mutual funds; total financial assets in municipal bond funds
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2000:Q4,-49811,216197,0,-3748,-112542,-5190,10024,12788,-22872,-107292,3444,102022,227022,216197,-49811,28231,187266,-12420,2124,10536,10904
2001:Q1,-41379,97700,0,-24908,99575,-24069,-7760,92028,31956,7420,-8776,116496,-84687,97700,-41379,-2803,10699,-19316,11176,115312,24532
2001:Q2,-36153,276250,0,-9012,190925,-8815,3988,138140,18800,38812,-10592,164288,-59359,276250,-36153,46373,193472,3888,19388,67436,8780
2001:Q3,-31733,146223,0,-2528,-94680,-512,-57112,-12016,11864,-36904,-5696,115829,133298,146223,-31733,6306,-26015,-47388,10536,138532,28628
2001:Q4,-28053,245807,0,-6236,182924,-9288,30044,118632,32232,11304,-4156,135259,-61984,245807,-28053,30597,110475,-15724,24916,96544,16852
2002:Q1,-23698,325912,0,15148,228455,14171,9344,58416,19292,127232,420,107632,-25742,325912,-23698,42870,174681,15956,36836,126048,21908
2002:Q2,-21178,179683,0,-17640,33186,-15298,-7860,13624,24072,18648,508,116862,46768,179683,-21178,6231,-8663,10876,25648,137380,24884
2002:Q3,-19370,100355,0,-6440,63409,-4163,32416,130132,11124,-106100,348,-121861,164900,100355,-19370,-28403,-178603,-32044,-11388,231092,48304
2002:Q4,-17863,126029,0,8928,103067,5287,12676,38280,6164,40660,772,49592,-36330,126029,-17863,4145,-23364,-184,15916,119624,3884
2003:Q1,-16291,85560,0,-8,193024,-3808,34744,100512,29216,32360,-1000,-64661,-41795,85560,-16291,4567,-76807,-2728,17952,195528,16124
2003:Q2,-16968,394368,0,5256,265076,10288,19224,76156,26936,132472,-972,144025,-19017,394368,-16968,53628,171231,16124,53324,127020,13512
2003:Q3,-18098,338825,0,20,52011,1883,-4088,10968,-3836,47084,-940,338343,-50609,338825,-18098,79301,287492,32328,57744,-67432,-17268
2003:Q4,-20004,312255,0,15604,125001,12509,15552,-24572,-14028,135540,-1528,256868,-83690,312255,-20004,60976,166529,70312,62172,17112,-7180
2004:Q1,-21312,377308,0,68444,-157923,62885,-72724,-306388,8760,149544,5940,258076,202771,377308,-21312,63291,196360,106720,86768,51256,10308
2004:Q2,-24336,130010,0,-71028,339857,-64915,128320,413256,-27752,-109052,11392,128523,-278734,130010,-24336,35216,93250,50336,55312,-53664,-39996
2004:Q3,-27688,308978,0,3612,33949,4529,13684,20540,-17488,12684,9940,194173,67305,308978,-27688,40880,114263,42016,49436,53064,708
2004:Q4,-30662,336275,0,22432,94237,20961,13440,-22408,-8156,90400,11208,190748,17650,336275,-30662,41197,96746,113600,63360,64404,-1188
2005:Q1,-36502,197524,0,16804,53074,11126,22856,-12148,16376,14864,8992,146448,-27794,197524,-36502,35024,16886,137160,78052,41100,11972
2005:Q2,-37848,280337,0,-4276,137753,1441,-8460,44068,25212,75492,10820,139692,-3652,280337,-37848,39352,36810,73624,62784,56860,12508
