1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q1,3138,88,112,0,36,416,0,8,-24,432,272,1740,0,474,0,176,250,48,3140
1961:Q2,2810,132,116,0,28,1272,0,68,-64,1268,244,1752,0,-734,0,68,-878,76,2812
1961:Q3,2370,136,124,0,28,868,0,4,36,828,244,1828,0,-858,0,92,-1018,68,2372
1961:Q4,1822,100,124,0,36,1332,0,-16,88,1260,276,1908,0,-1954,0,172,-2182,56,1824
1962:Q1,1294,68,132,0,56,872,0,-12,136,748,296,1484,128,-1742,0,36,-1958,180,1296
1962:Q2,974,40,132,0,68,1432,0,112,64,1256,316,2272,312,-3598,0,-252,-3690,344,976
1962:Q3,926,32,144,0,68,632,0,196,-8,444,324,1484,204,-1962,0,120,-2286,204,928
1962:Q4,1154,48,144,0,56,1596,0,228,-84,1452,328,1792,72,-2882,0,208,-3210,120,1156
1963:Q1,1520,56,152,0,44,1208,0,84,28,1096,324,1096,16,-1376,0,140,-1604,88,1524
1963:Q2,2000,56,156,0,20,1380,0,80,8,1292,312,2008,-60,-1872,0,124,-2028,32,2004
1963:Q3,2449,68,164,0,32,1428,0,-44,128,1344,336,1744,-44,-1279,0,120,-1459,60,2452
1963:Q4,2797,84,168,0,64,1032,0,116,-20,936,404,2096,28,-1079,0,124,-1387,184,2800
1964:Q1,3069,116,176,0,104,1388,0,580,48,760,548,1800,56,-1119,0,180,-1595,296,3072
1964:Q2,3381,192,184,0,144,1232,0,-620,-40,1892,596,1816,148,-931,0,152,-1535,452,3384
1964:Q3,3786,28,188,0,144,936,0,-12,-32,980,536,1688,132,134,0,144,-482,472,3788
1964:Q4,4254,140,196,0,120,2152,0,160,356,1636,552,1780,152,-838,0,140,-1346,368,4256
1965:Q1,4710,-560,208,0,92,1700,0,584,-228,1344,564,2440,48,218,0,128,-186,276,4716
1965:Q2,5450,-96,212,0,68,864,0,-600,0,1464,1024,2408,76,894,0,24,634,236,5456
1965:Q3,6347,128,220,0,68,488,0,-756,84,1160,492,2628,-48,2371,0,280,1963,128,6352
1965:Q4,7299,724,228,0,88,1136,0,244,72,820,348,2520,-4,2259,0,184,1831,244,7304
1966:Q1,8053,64,240,0,104,3176,0,-180,36,3320,492,2216,68,1693,0,92,1265,336,8060
1966:Q2,8965,-664,248,0,116,1080,0,-304,32,1352,332,3148,108,4597,0,-12,4181,428,8972
1966:Q3,9701,-288,256,0,124,1272,0,-80,-104,1456,476,2736,228,4897,0,-136,4533,500,9708
1966:Q4,10109,156,312,0,128,1836,0,-140,12,1964,804,3032,0,3841,0,240,3245,356,10116
1967:Q1,10109,264,256,0,132,820,0,-468,-44,1332,320,3448,-80,4949,0,416,4225,308,10116
1967:Q2,10316,60,300,0,144,-72,0,-448,-132,508,-60,4008,56,5880,0,108,5304,468,10324
1967:Q3,10471,172,312,0,140,1156,0,-96,-84,1336,332,3496,0,4863,0,284,4183,396,10476
1967:Q4,10557,48,392,0,128,400,0,60,-80,420,96,3648,100,5745,0,76,5237,432,10564
1968:Q1,10757,-92,260,0,120,1952,0,660,68,1224,32,3180,312,4993,0,-108,4629,472,10768
1968:Q2,11485,316,356,0,112,52,0,-76,64,64,-164,3672,-132,7273,0,492,6581,200,11496
1968:Q3,12931,132,384,0,104,608,0,-184,68,724,84,4028,32,7559,0,220,7047,292,12940
1968:Q4,14711,128,412,0,104,756,0,716,-12,52,-16,4548,120,8659,0,200,8163,296,14720
1969:Q1,16167,-40,252,0,104,-108,0,304,112,-524,48,4676,268,10967,0,-16,10615,368,16180
1969:Q2,17766,16,512,0,96,-456,0,-808,108,244,-40,3816,276,13546,0,28,13186,332,17780
1969:Q3,18648,-20,384,0,92,1884,0,-96,256,1724,260,3572,172,12304,0,-8,11968,344,18660
1969:Q4,18467,80,440,0,104,772,0,72,184,516,328,5160,200,11383,0,152,10927,304,18480
1970:Q1,17300,20,460,0,104,832,0,-304,-96,1232,56,3412,108,12308,0,40,11904,364,17312
1970:Q2,16391,-444,468,0,112,392,0,-292,256,428,-68,2776,804,12351,0,-640,12347,644,16404
1970:Q3,15376,440,492,0,112,2896,0,504,800,1592,-80,3104,-216,8628,0,680,7816,132,15388
1970:Q4,14333,312,460,0,116,2480,0,-84,-40,2604,-88,4408,8,6637,0,512,5905,220,14344
1971:Q1,13334,372,536,0,124,-2256,0,404,-452,-2208,-364,5732,-104,9294,0,584,8506,204,13348
1971:Q2,13298,24,416,0,124,-2560,0,-772,-516,-1272,-664,7080,328,8550,0,100,8038,412,13312
1971:Q3,13913,148,568,0,136,-1368,0,128,-12,-1484,-584,7364,420,7229,0,272,6589,368,13928
1971:Q4,14933,252,504,0,140,2608,0,244,52,2312,-440,6572,140,5157,0,408,4397,352,14948
1972:Q1,15929,432,516,0,612,2380,740,1244,788,-392,-1304,8692,200,4401,0,604,1845,1952,15944
1972:Q2,16808,232,652,0,932,4816,1164,-268,1088,2832,-796,10328,408,236,0,304,-3300,3232,16824
1972:Q3,17240,424,708,0,964,7392,1268,516,1664,3944,-1072,9876,392,-1444,0,444,-5184,3296,17256
1972:Q4,16879,852,756,0,728,4352,1040,2276,1052,-16,-548,7328,40,3371,0,740,319,2312,16896
1973:Q1,16057,396,804,0,520,6548,836,1032,1624,3056,-856,5036,976,2633,0,-108,821,1920,16072
1973:Q2,16192,508,724,0,352,3664,668,856,592,1548,-300,3000,828,7416,0,-244,6292,1368,16208
1973:Q3,17218,1296,948,0,316,6360,708,2100,560,2992,-312,2036,-316,6890,0,768,5294,828,17236
1973:Q4,18874,460,736,0,412,2884,964,2004,700,-784,60,2136,952,11234,0,-516,10078,1672,18892
1974:Q1,20160,596,884,0,460,3396,1140,2192,188,-124,68,1512,536,12708,0,376,10820,1512,20168
1974:Q2,21409,944,912,0,480,4332,1236,2408,36,652,-64,140,748,13917,0,-292,12377,1832,21416
1974:Q3,21328,1012,968,0,516,8896,1444,3968,772,2712,-36,652,2004,7316,0,-1036,6068,2284,21336
1974:Q4,19723,1092,1328,0,588,9252,1760,972,2476,4044,16,3040,-124,4531,0,844,1915,1772,19732
1975:Q1,17411,1040,1140,0,680,13292,2220,3192,1148,6732,148,5304,-428,-3765,0,1460,-7085,1860,17416
1975:Q2,16349,1156,1392,0,1456,11116,2832,2680,708,4896,-124,5592,-96,-4143,0,1604,-10351,4604,16352
1975:Q3,16809,1072,1444,0,1868,11396,2252,4140,252,4752,-48,5220,2276,-6419,0,-20,-13127,6728,16812
1975:Q4,18673,868,1320,0,1216,10212,1488,1500,1516,5708,68,5620,360,-991,0,936,-5935,4008,18676
1976:Q1,20921,868,1356,0,156,8848,1980,3652,1512,1704,0,6340,360,2993,0,1200,1717,76,20924
1976:Q2,22945,348,1168,0,-980,8812,1316,4792,1172,1532,0,4820,-228,9005,0,76,12477,-3548,22948
1976:Q3,23879,-340,956,0,984,12,760,3480,596,-4824,-40,3532,772,18003,0,192,14347,3464,23880
1976:Q4,23179,-436,1152,0,1400,452,468,5112,-1380,-3748,164,3408,1128,15911,0,392,10643,4876,23180
1977:Q1,21606,-44,1400,0,2332,2604,448,-604,3164,-404,24,4440,488,10362,0,40,1954,8368,21608
1977:Q2,21402,272,1556,0,64,11864,320,6252,1688,3604,476,5560,1380,230,0,576,-358,12,21404
1977:Q3,22771,508,1668,0,1872,4548,88,368,3056,1036,-212,6724,-800,8463,0,256,1571,6636,22772
1977:Q4,25147,564,1744,0,-344,12908,12,3684,-340,9552,44,6488,220,3523,0,444,4499,-1420,25148
1978:Q1,26445,436,2012,0,2204,3072,88,508,-92,2568,248,7152,160,11161,0,368,3001,7792,26448
1978:Q2,26367,348,2116,0,-528,15084,-36,2124,-152,13148,352,6868,1088,1039,0,1176,2235,-2372,26372
1978:Q3,22438,352,1948,0,1408,8504,-388,-3288,4840,7340,236,6792,-1816,5014,0,1476,-938,4476,22444
1978:Q4,15667,260,2440,0,1788,6140,-28,6268,-4036,3936,60,7288,-1404,-905,0,224,-7477,6348,15672
1979:Q1,10484,92,2260,0,1272,9816,1036,1644,3788,3348,308,7572,2400,-13236,0,1204,-18532,4092,10496
1979:Q2,11916,-72,2016,0,948,18788,2172,3604,2620,10392,-192,7772,192,-17536,0,804,-21436,3096,11928
1979:Q3,23767,-188,2196,0,168,20168,3348,2524,3960,10336,872,10488,940,-10877,0,1292,-12245,76,23780
1979:Q4,44715,-348,2504,0,944,16192,3608,676,1732,10176,684,11540,44,13155,0,404,9519,3232,44728
1980:Q1,67021,-544,1984,0,844,21376,2940,3624,2448,12364,208,12156,1288,29709,0,176,26557,2976,67036
1980:Q2,84587,-792,1840,0,840,25288,2520,6552,5252,10964,288,10188,3984,42951,0,2084,38687,2180,84600
1980:Q3,91310,-1096,1744,0,1184,22988,2348,3548,4432,12660,832,13344,732,51582,0,1920,46166,3496,91324
1980:Q4,84161,-1140,2768,0,-428,21888,2116,4936,5920,8916,372,12672,-396,48425,0,1300,49177,-2052,84176
1981:Q1,68055,-924,2324,0,-564,17600,1812,3412,6116,6260,736,12016,-1188,38055,0,524,39767,-2236,68072
1981:Q2,52798,-764,1704,0,472,18924,3600,3572,8176,3576,492,12188,-1808,21590,0,224,19758,1608,52816
1981:Q3,40916,-676,2616,0,680,17268,3456,636,8696,4480,28,14276,-4824,11548,0,-612,9472,2688,40936
1981:Q4,35362,-580,3212,0,-1068,25268,3068,35788,-17204,3616,140,12888,-3500,-998,0,1412,2002,-4412,35384
1982:Q1,36233,-2008,6592,0,-2120,43848,-6072,28052,11556,10312,0,3220,-572,-12727,0,1048,-5719,-8056,36260
1982:Q2,45359,-424,7312,0,448,33852,-3284,18016,11472,7648,5892,6200,2144,-10065,0,1276,-12445,1104,45384
1982:Q3,61794,-996,6600,0,3232,29000,-6736,17592,6604,11540,3900,9384,3656,7018,0,3504,-6714,10228,61816
1982:Q4,81800,-1240,6928,0,228,31320,-6232,21800,7180,8572,5636,45268,6408,-12748,0,1844,-14676,84,81820
1983:Q1,97342,-584,8640,0,2344,28008,-2304,13676,3844,12792,5144,7584,-508,46714,0,3436,36214,7064,97376
1983:Q2,107682,532,11784,0,4368,20864,2540,9964,3780,4580,2612,6920,-400,61002,0,4032,42858,14112,107712
1983:Q3,104257,1356,368,0,-44,43960,4068,18160,7896,13836,3440,6280,1328,47569,0,520,47421,-372,104288
1983:Q4,86177,576,3500,0,896,28764,600,12684,5984,9496,-1780,1256,1364,51601,0,572,48029,3000,86208
1984:Q1,61594,1388,-1496,0,-1720,16156,5604,5072,1288,4192,-928,-8272,-28,56494,0,-1528,63594,-5572,61644
1984:Q2,40253,1612,-312,0,-1088,-20240,6076,-8700,-2772,-14844,-2092,-13332,-480,76185,0,-1480,80993,-3328,40308
1984:Q3,28733,-52,10292,0,2796,55524,140,19920,9324,26140,-1312,10400,2344,-51259,0,3720,-63551,8572,28788
1984:Q4,27966,-676,6676,0,1264,66760,-6152,28920,10032,33960,2776,1040,2712,-52586,0,2896,-58878,3396,28024
1985:Q1,32878,956,10960,0,2956,-4708,-668,11252,5296,-20588,5224,9896,1336,6258,0,3392,-6426,9292,32956
1985:Q2,39963,980,13568,0,3200,22720,-228,21856,11404,-10312,3052,12672,1324,-17553,0,3828,-31369,9988,40040
1985:Q3,43493,160,-1632,0,-1620,3136,1460,10604,6480,-15408,-1772,6984,816,37421,0,-692,43665,-5552,43568
1985:Q4,41420,-2160,-3256,0,7416,36068,9864,16732,46984,-37512,10620,376,4648,-12292,0,16648,-84728,55788,41496
1986:Q1,35771,-640,4256,0,-200,45272,1948,8844,4804,29676,752,-14908,1284,-45,3968,-40,24943,-28916,35864
1986:Q2,31313,-600,10108,0,1652,-1060,4072,-13948,-7516,16332,-1740,-3916,960,25909,1860,-60,26889,-2780,31396
1986:Q3,29108,-540,6280,0,340,26812,2780,-5036,-2332,31400,64,-33576,752,28976,620,-60,29788,-1372,29188
1986:Q4,29847,-512,13988,0,2616,-92552,5632,-18652,-12172,-67360,-3756,14440,540,95083,6976,-96,41535,46668,29928
1987:Q1,32273,-360,1900,0,8,-31536,4856,-13908,-7492,-14992,-5552,55924,1368,10521,13280,-400,-54107,51748,32360
1987:Q2,37112,-240,8304,0,1964,11120,7860,-24292,27776,-224,-3032,-37648,1400,55244,2124,-1200,36400,17920,37200
1987:Q3,42504,-160,2620,0,324,18928,6172,5708,3804,3244,-2552,-33920,1188,56076,5392,-1800,28028,24456,42596
1987:Q4,47136,-32,-8448,0,-2856,24576,1680,9576,6388,6932,-2072,-15124,-492,51584,-1212,-2588,140780,-85396,47232
1988:Q1,50204,200,-13188,0,-732,5988,-7536,-23116,31684,4956,4400,25028,-932,29440,-17452,-2800,60876,-11184,50292
1988:Q2,52198,1000,6132,0,5384,3524,1296,628,512,1088,4204,-24,-468,32446,-10836,-1600,9138,35744,52288
1988:Q3,52718,3200,-13892,0,-1056,65032,-7360,37172,8592,26628,8044,-29432,-676,21498,-19884,-1400,13110,29672,52808
1988:Q4,50837,3312,7108,0,2880,15384,-1904,-8044,13268,12064,6812,2788,-500,13053,-12472,4424,2857,18244,50928
1989:Q1,47237,1600,15256,0,2300,25728,-148,-19904,40656,5124,4260,-38132,-244,36469,-428,4400,30789,1708,47332
1989:Q2,45745,-800,6892,0,-740,35532,-3652,15796,14128,9260,5412,-16344,-120,15913,-2044,4500,20881,-7424,45840
1989:Q3,45776,-2000,18104,0,3452,31732,740,13268,11600,6124,5320,-12332,72,1428,2544,4600,31512,-37228,45876
1989:Q4,47099,-2676,-1840,0,-3904,50808,-6904,22400,20732,14580,7444,-22868,392,19743,-7620,4264,7155,15944,47200
1990:Q1,48353,-1600,-6404,0,-1864,11000,-1864,-34000,41700,5164,304,13700,424,32793,-7360,3800,60969,-24616,48436
1990:Q2,51313,-800,-2668,0,-468,41972,-468,13108,14724,14608,2124,-12732,892,22993,-4580,1800,22001,3772,51396
1990:Q3,53699,400,-3780,0,-960,39320,-960,12548,14040,13692,1960,-20772,-76,37607,-8888,2200,68935,-24640,53780
1990:Q4,54499,-76,-9332,0,-3624,29728,-3624,10576,11628,11148,1492,20752,336,15223,-4028,3412,68823,-52984,54576
1991:Q1,53216,-40,-1596,0,-1912,33512,-1912,-36312,52864,18872,-6588,7464,1176,21200,-3224,7000,24112,-6688,53276
1991:Q2,52955,-60,4924,0,1308,-3208,1308,-4008,-6852,6344,-7836,15476,1232,41119,-3364,10000,11579,22904,53012
1991:Q3,52076,-60,5152,0,1616,50020,1616,10132,14364,23908,-5148,-15372,1480,14388,-2804,9000,9524,-1332,52128
1991:Q4,50313,-40,13352,0,6336,-2180,6336,-5460,-9024,5968,-7432,312,1764,38201,592,6652,53441,-22484,50364
1992:Q1,48208,-12,-10864,0,-1640,24976,-1640,-43324,48020,21920,-3128,-75408,4336,109948,-6716,5628,150632,-39596,48256
1992:Q2,47288,40,-8136,0,-284,13280,-284,-1524,-3060,18148,-3516,27720,5040,13144,-2340,5368,-8956,19072,47336
1992:Q3,47952,48,-9656,0,-1644,25924,-1644,1580,2692,23296,-2852,-41084,-2060,79276,-21744,5468,101632,-6080,48000
1992:Q4,49122,20,-7872,0,-688,16672,-688,-828,-1780,19968,-2932,12716,3880,27326,-29112,5804,50842,-208,49172
1993:Q1,49637,-24,6840,0,772,38588,772,-40552,59740,18628,-520,62932,2688,-61639,-6756,6268,-68427,7276,49688
1993:Q2,51654,-48,5208,0,-628,16944,-628,1616,4328,11628,-1100,-25520,5252,51546,-10760,7068,57878,-2640,51704
1993:Q3,53046,-68,4732,0,-1040,42608,-1040,38708,-15788,20728,-364,-31968,4764,34382,-10328,7868,41266,-4424,53096
1993:Q4,53105,120,9016,0,828,-816,828,-22160,15508,5008,-3616,36292,5788,5493,-4736,8268,-71,2032,53160
1994:Q1,51707,492,6664,0,-5416,-1616,-5416,-11100,14664,236,-2116,-36572,5600,84671,-1160,7200,104151,-25520,51756
1994:Q2,52191,688,7864,0,-4332,54412,-4332,15768,37348,5628,-1692,18436,4608,-27793,2960,6400,-59277,22124,52244
1994:Q3,53255,692,8516,0,-3756,62440,-3756,25276,46184,-5264,-2592,37908,4520,-54473,-14948,5600,-53297,8172,53308
1994:Q4,54253,1276,29204,0,-3248,41988,-3248,10520,24548,10168,-8596,-34996,50232,-21607,46900,5500,-65255,-8752,54308
1995:Q1,53901,264,8088,0,-428,24492,-428,2156,4596,18168,116,-26344,19232,28481,-22660,1640,50773,-1272,53960
1995:Q2,54539,276,8292,0,-432,16412,-432,616,1008,15220,116,-35488,15848,49515,-3812,1644,52955,-1272,54600
1995:Q3,53756,276,8400,0,-428,20744,-428,1352,2712,17108,116,-99996,9812,114832,-7640,1640,122104,-1272,53820
1995:Q4,51124,276,8308,0,-432,25236,-432,2096,4460,19112,116,-78924,11760,84784,-8632,1644,93044,-1272,51188
1996:Q1,47793,292,13816,0,3372,6104,3372,-2060,-5236,10028,116,-80084,7008,97169,4096,1640,81305,10128,47848
1996:Q2,45907,284,13680,0,3372,20560,3372,468,652,16068,112,-85860,6732,87027,4096,1640,71163,10128,45964
1996:Q3,46408,284,13776,0,3368,-40340,3368,-12044,-18528,-13136,120,-53972,6296,116876,9056,1640,96052,10128,46468
1996:Q4,48312,-260,15788,0,1916,-31332,1916,-6684,-26040,-524,-176,-32428,10484,84320,-6520,1636,83452,5752,48376
1997:Q1,49895,856,20008,0,-1700,30096,-1696,2880,6292,22620,128,-97732,17140,81099,-8696,8548,86319,-5072,49960
1997:Q2,52763,424,16684,0,1312,33768,1312,2976,6504,22976,132,-96032,-8820,105295,-6756,4624,103471,3956,52828
1997:Q3,54273,1336,18312,0,-708,37956,-704,4020,8952,25688,204,-93448,4008,86613,-10180,4608,94289,-2104,54340
1997:Q4,53619,-924,12020,0,1364,45464,1376,3000,6568,34520,1536,-134008,16684,111483,4540,3708,99107,4128,53688
1998:Q1,51084,472,17804,0,280,-34776,308,-22492,-19000,6408,-80,-49860,-2072,119316,-4164,10852,111728,900,51164
1998:Q2,50454,456,17036,0,192,-43608,252,-19144,-13208,-11508,-28,-67544,21364,122586,-9812,10752,120966,680,50540
1998:Q3,50798,452,15844,0,20,-31396,144,-20740,-19772,8972,-12,-82716,43316,105290,4520,10236,90278,256,50884
1998:Q4,51637,848,15088,0,-328,16484,-116,-20120,-20984,57704,-1384,-10024,-31364,62317,-400,304,63053,-640,51724
1999:Q1,51558,-2228,-12944,0,708,60104,1064,16044,24380,18616,4,-173528,20180,159262,-4656,-1608,157854,7672,51632
1999:Q2,52516,800,-15160,0,120,106316,672,31236,33596,40812,8,-144536,-5664,110632,-10616,-5020,115060,11208,52588
1999:Q3,52020,604,-18900,0,-612,76884,184,27908,23604,25188,4,-132784,44808,82016,-5712,-9300,87652,9376,52092
1999:Q4,49651,1712,-31812,0,-1448,112828,-376,-604,40216,73592,4,-64788,-35676,68831,-24720,-14168,100431,7288,49724
2000:Q1,46757,488,-10592,0,-5104,-64420,-3748,-9920,-19288,-31464,-384,148196,7340,-28767,816,-7768,-5171,-16644,46812
2000:Q2,45653,820,-35300,0,-7904,-103856,-6304,-7904,-33248,-56400,-1056,10516,57952,124481,-2396,-25888,170865,-18100,45712
2000:Q3,47518,1820,-25888,0,-10480,-129052,-8708,-17020,-31868,-71456,-1400,55712,63068,93738,-484,-18988,142126,-28916,47580
2000:Q4,51241,1808,-23060,0,-12664,-192404,-10860,-11848,-64700,-104996,-2204,126080,38612,115073,1908,-16916,163909,-33828,51304
2001:Q1,54524,436,-44716,0,6264,55276,7960,17860,59636,-30180,3416,-79604,-63128,176580,-5428,-32796,194640,20164,54584
2001:Q2,58744,560,-28240,0,-4608,-38852,-3176,-4260,-11612,-19804,-336,119192,-58200,69228,-9996,-20712,113920,-13984,58804
2001:Q3,60749,672,-32948,0,-4108,-37024,-3080,-5364,-14176,-14404,-404,74968,45176,14417,-23884,-24164,74061,-11596,60808
2001:Q4,59702,760,-34592,0,-3412,-60272,-2880,-9648,-26816,-20928,-176,43684,5848,107862,14004,-25372,124966,-5736,59752
