date,Total Nonfinancial,Households and Nonprofits,Nonfinancial Business,Federal Government,State and Local Governments,GDP,Total Nonfinancial Debt Growth,Households and Nonprofits Debt Growth,Nonfinancial Business Debt Growth,Federal Government Debt Growth,State and Local Governments Debt Growth,Nonfinancial Corporate Business,Nonfinancial Noncorporate Business,Noncorporate Business; Nonmortgage Depository Loans,Noncorporate Business; Mortgages,Noncorporate Business; Other,Corporate Business; Corporate Bonds,Corporate Business; Nonmortgage Depository Loans,Corporate Business; Mortgages,Corporate Business; Commercial Paper,Corporate Business; Other,Total Nonfinancial; Ratio to GDP,Households and Nonprofits; Ratio to GDP,Nonfinancial Business; Ratio to GDP,Federal Government; Ratio to GDP,State and Local Governments; Ratio to GDP,Nonfinancial Corporate Business; Ratio to GDP,Nonfinancial Noncorporate Business; Ratio to GDP,Noncorporate Nonmortgage Depository Loans; Ratio to GDP,Noncorporate Mortgages; Ratio to GDP,Noncorporate Other Nonfinancial Debt; Ratio to GDP,Corporate Bonds; Ratio to GDP,Corporate Nonmortgage Depository Loans; Ratio to GDP,Corporate Mortgages; Ratio to GDP,Corporate Commercial Paper; Ratio to GDP,Corporate Other; Ratio to GDP,Households and Nonprofits; Share of Total Nonfinancial Debt,Nonfinancial Business; Share of Total Nonfinancial Debt,Federal Governments; Share of Total Nonfinancial Debt,State and Local Governments; Share of Total Nonfinancial Debt,Nonfinancial Corporate Business; Share of Total Nonfinancial Business Debt,Nonfinancial Noncorporate Business; Share of Total Nonfinancial Business Debt,Noncorporate Nonmortgage Depository Loans; Share of Nonfinancial Noncorporate Business Debt,Noncorporate Mortgages; Share of Nonfinancial Noncorporate Business Debt,Noncorporate Other; Share of Nonfinancial Noncorporate Business Debt,Corporate Bonds; Share of Nonfinancial Corporate Business Debt,Corporate Nonmortgage Depository Loans; Share of Nonfinancial Corporate Business Debt,Corporate Mortgages; Share of Nonfinancial Corporate Business Debt,Corporate Commercial Paper; Share of Nonfinancial Corporate Business Debt,Corporate Other; Share of Nonfinancial Corporate Business Debt
1959:Q4,707085,202315,186894,251180,66696,528600,6.549,11.843,7.892,1.012,8.089,136645,50249,8343,34800,7106,72794,35439,21009,315,7088,1.338,0.383,0.354,0.475,0.126,0.259,0.095,0.016,0.066,0.013,0.138,0.067,0.04,0.001,0.013,0.286,0.264,0.355,0.094,0.731,0.269,0.166,0.693,0.141,0.533,0.259,0.154,0.002,0.052
1959:Q3,695695,196497,183278,250546,65374,525034,7.943,12.3,7.376,4.279,10.763,134054,49224,8037,34114,7072,71737,35042,20208,434,6633,1.325,0.374,0.349,0.477,0.125,0.255,0.094,0.015,0.065,0.013,0.137,0.067,0.038,0.001,0.013,0.282,0.263,0.36,0.094,0.731,0.269,0.163,0.693,0.144,0.535,0.261,0.151,0.003,0.049
1959:Q2,682180,190688,179937,247894,63661,522653,8.652,12.002,11.637,3.669,9.969,132391,47546,7733,32829,6985,71169,34103,20235,456,6428,1.305,0.365,0.344,0.474,0.122,0.253,0.091,0.015,0.063,0.013,0.136,0.065,0.039,0.001,0.012,0.28,0.264,0.363,0.093,0.736,0.264,0.163,0.69,0.147,0.538,0.258,0.153,0.003,0.049
1959:Q1,667735,185161,174820,245641,62113,510330,6.8,10.689,6.111,3.726,9.521,129227,45593,7410,31345,6837,70307,32075,20206,605,6034,1.308,0.363,0.343,0.481,0.122,0.253,0.089,0.015,0.061,0.013,0.138,0.063,0.04,0.001,0.012,0.277,0.262,0.368,0.093,0.739,0.261,0.163,0.687,0.15,0.544,0.248,0.156,0.005,0.047
1958:Q4,656559,180371,172145,243374,60669,499555,9.425,11.131,9.309,8.026,10.342,127965,44180,7288,30306,6586,69715,31650,20184,658,5758,1.314,0.361,0.345,0.487,0.121,0.256,0.088,0.015,0.061,0.013,0.14,0.063,0.04,0.001,0.012,0.275,0.262,0.371,0.092,0.743,0.257,0.165,0.686,0.149,0.545,0.247,0.158,0.005,0.045
1958:Q3,641445,175488,168230,238587,59140,485841,3.99,7.376,6.615,-1.535,9.273,125300,42930,6919,29599,6412,68463,31355,19211,732,5539,1.32,0.361,0.346,0.491,0.122,0.258,0.088,0.014,0.061,0.013,0.141,0.065,0.04,0.002,0.011,0.274,0.262,0.372,0.092,0.745,0.255,0.161,0.689,0.149,0.546,0.25,0.153,0.006,0.044
1958:Q2,635110,172310,165493,239506,57800,471978,6.344,4.986,5.081,7.354,9.885,123711,41782,6857,28626,6299,67017,31316,18935,800,5643,1.346,0.365,0.351,0.507,0.122,0.262,0.089,0.015,0.061,0.013,0.142,0.066,0.04,0.002,0.012,0.271,0.261,0.377,0.091,0.748,0.252,0.164,0.685,0.151,0.542,0.253,0.153,0.006,0.046
1958:Q1,625194,170189,163417,235182,56406,467540,4.746,3.83,5.98,3.33,9.935,122618,40799,6654,27849,6296,65937,31308,18711,687,5975,1.337,0.364,0.35,0.503,0.121,0.262,0.087,0.014,0.06,0.013,0.141,0.067,0.04,0.001,0.013,0.272,0.261,0.376,0.09,0.75,0.25,0.163,0.683,0.154,0.538,0.255,0.153,0.006,0.049
1957:Q4,617864,168575,161010,233240,55039,474864,3.234,5.199,6.475,-1.934,10.134,120632,40378,6732,27478,6168,64072,31971,18437,422,5730,1.301,0.355,0.339,0.491,0.116,0.254,0.085,0.014,0.058,0.013,0.135,0.067,0.039,0.001,0.012,0.273,0.261,0.377,0.089,0.749,0.251,0.167,0.681,0.153,0.531,0.265,0.153,0.003,0.047
1957:Q3,612909,166412,158445,234373,53679,479490,5.956,6.822,7.068,3.881,9.139,118733,39712,6415,27228,6069,62488,32571,17806,324,5544,1.278,0.347,0.33,0.489,0.112,0.248,0.083,0.013,0.057,0.013,0.13,0.068,0.037,0.001,0.012,0.272,0.259,0.382,0.088,0.749,0.251,0.162,0.686,0.153,0.526,0.274,0.15,0.003,0.047
1957:Q2,603916,163622,155694,232121,52480,472025,2.865,9.057,9.786,-7.031,8.619,116775,38919,6361,26587,5971,60975,32699,17697,343,5061,1.279,0.347,0.33,0.492,0.111,0.247,0.082,0.013,0.056,0.013,0.129,0.069,0.037,0.001,0.011,0.271,0.258,0.384,0.087,0.75,0.25,0.163,0.683,0.153,0.522,0.28,0.152,0.003,0.043
1957:Q1,599622,159999,151976,236274,51373,469779,6.034,9.201,8.291,2.102,7.876,113755,38221,6276,25933,6012,59510,31286,17628,344,4987,1.276,0.341,0.324,0.503,0.109,0.242,0.081,0.013,0.055,0.013,0.127,0.067,0.038,0.001,0.011,0.267,0.253,0.394,0.086,0.749,0.251,0.164,0.679,0.157,0.523,0.275,0.155,0.003,0.044
1956:Q4,590711,156401,148890,235039,50381,460463,5.414,9.945,7.549,0.6,7.968,110961,37929,6279,25715,5935,58040,30747,17126,378,4670,1.283,0.34,0.323,0.51,0.109,0.241,0.082,0.014,0.056,0.013,0.126,0.067,0.037,0.001,0.01,0.265,0.252,0.398,0.085,0.745,0.255,0.166,0.678,0.156,0.523,0.277,0.154,0.003,0.042
1956:Q3,582823,152607,146132,234687,49397,451191,4.604,8.273,8.758,-1.047,8.468,108573,37559,6343,25529,5686,57013,29999,16614,383,4564,1.292,0.338,0.324,0.52,0.109,0.241,0.083,0.014,0.057,0.013,0.126,0.066,0.037,0.001,0.01,0.262,0.251,0.403,0.085,0.743,0.257,0.169,0.68,0.151,0.525,0.276,0.153,0.004,0.042
1956:Q2,576192,149514,143001,235303,48373,446010,3.542,10.66,10.855,-6.207,9.368,106470,36531,6026,24898,5606,55946,29178,16531,323,4492,1.292,0.335,0.321,0.528,0.108,0.239,0.082,0.014,0.056,0.013,0.125,0.065,0.037,0.001,0.01,0.259,0.248,0.408,0.084,0.745,0.255,0.165,0.682,0.153,0.525,0.274,0.155,0.003,0.042
1956:Q1,571134,145633,139223,239012,47266,439746,5.173,11.501,9.317,-1.774,9.691,103790,35433,5832,24036,5565,54986,27469,16428,352,4555,1.299,0.331,0.317,0.544,0.107,0.236,0.081,0.013,0.055,0.013,0.125,0.062,0.037,0.001,0.01,0.255,0.244,0.418,0.083,0.745,0.255,0.165,0.678,0.157,0.53,0.265,0.158,0.003,0.044
1955:Q4,563842,141563,136054,240077,46148,437092,7.777,13.743,13.195,0.905,10.341,101216,34838,5737,23526,5575,54564,25662,16195,362,4433,1.29,0.324,0.311,0.549,0.106,0.232,0.08,0.013,0.054,0.013,0.125,0.059,0.037,0.001,0.01,0.251,0.241,0.426,0.082,0.744,0.256,0.165,0.675,0.16,0.539,0.254,0.16,0.004,0.044
1955:Q3,553187,136861,131806,239535,44985,430221,6.841,15.786,9.088,-0.087,11.244,97630,34176,5482,23247,5446,53253,24440,15355,360,4222,1.286,0.318,0.306,0.557,0.105,0.227,0.079,0.013,0.054,0.013,0.124,0.057,0.036,0.001,0.01,0.247,0.238,0.433,0.081,0.741,0.259,0.16,0.68,0.159,0.545,0.25,0.157,0.004,0.043
1955:Q2,543884,131664,128878,239587,43755,421532,7.938,18.856,10.816,-0.023,12.025,95914,32964,5136,22536,5293,52779,23441,15128,416,4150,1.29,0.312,0.306,0.568,0.104,0.228,0.078,0.012,0.053,0.013,0.125,0.056,0.036,0.001,0.01,0.242,0.237,0.441,0.08,0.744,0.256,0.156,0.684,0.161,0.55,0.244,0.158,0.004,0.043
1955:Q1,533301,125737,125485,239601,42478,413073,5.932,17.548,5.582,-0.989,13.391,93897,31588,4732,21643,5213,52055,22441,14935,483,3983,1.291,0.304,0.304,0.58,0.103,0.227,0.076,0.011,0.052,0.013,0.126,0.054,0.036,0.001,0.01,0.236,0.235,0.449,0.08,0.748,0.252,0.15,0.685,0.165,0.554,0.239,0.159,0.005,0.042
1954:Q4,525508,120453,123758,240195,41102,399734,7.293,15.446,4.167,3.803,14.043,92843,30915,4661,21176,5078,51547,21761,14636,531,4368,1.315,0.301,0.31,0.601,0.103,0.232,0.077,0.012,0.053,0.013,0.129,0.054,0.037,0.001,0.011,0.229,0.236,0.457,0.078,0.75,0.25,0.151,0.685,0.164,0.555,0.234,0.158,0.006,0.047
1954:Q3,516098,115975,122482,237933,39708,390996,5.226,11.727,7.211,-0.227,13.744,91873,30609,4903,20808,4898,50999,21875,14216,574,4209,1.32,0.297,0.313,0.609,0.102,0.235,0.078,0.013,0.053,0.013,0.13,0.056,0.036,0.001,0.011,0.225,0.237,0.461,0.077,0.75,0.25,0.16,0.68,0.16,0.555,0.238,0.155,0.006,0.046
1954:Q2,509442,112672,120313,238068,38389,386121,4.679,9.829,3.948,1.158,14.3,90725,29588,4632,20145,4811,49724,22054,14285,517,4145,1.319,0.292,0.312,0.617,0.099,0.235,0.077,0.012,0.052,0.012,0.129,0.057,0.037,0.001,0.011,0.221,0.236,0.467,0.075,0.754,0.246,0.157,0.681,0.163,0.548,0.243,0.157,0.006,0.046
1954:Q1,503551,109969,119137,237381,37064,385345,3.703,6.699,5.197,0.003,14.285,90351,28786,4613,19328,4846,48789,22398,14418,495,4251,1.307,0.285,0.309,0.616,0.096,0.234,0.075,0.012,0.05,0.013,0.127,0.058,0.037,0.001,0.011,0.218,0.237,0.471,0.074,0.758,0.242,0.16,0.671,0.168,0.54,0.248,0.16,0.005,0.047
1953:Q4,498932,108158,117609,237379,35786,385970,3.214,9.76,-0.489,0.467,14.694,89252,28357,4434,19148,4775,48012,22417,14142,402,4279,1.293,0.28,0.305,0.615,0.093,0.231,0.073,0.011,0.05,0.012,0.124,0.058,0.037,0.001,0.011,0.217,0.236,0.476,0.072,0.759,0.241,0.156,0.675,0.168,0.538,0.251,0.158,0.005,0.048
1953:Q3,494955,105582,117753,237102,34518,391171,8.267,9.293,5.678,8.125,15.117,89017,28736,5040,19002,4694,46800,23598,13761,334,4524,1.265,0.27,0.301,0.606,0.088,0.228,0.073,0.013,0.049,0.012,0.12,0.06,0.035,0.001,0.012,0.213,0.238,0.479,0.07,0.756,0.244,0.175,0.661,0.163,0.526,0.265,0.155,0.004,0.051
1953:Q2,484932,103184,116105,232382,33261,391749,6.403,13.755,5.274,2.513,15.581,87961,28144,4876,18609,4659,46270,23352,13696,324,4319,1.238,0.263,0.296,0.593,0.085,0.225,0.072,0.012,0.048,0.012,0.118,0.06,0.035,0.001,0.011,0.213,0.239,0.479,0.069,0.758,0.242,0.173,0.661,0.166,0.526,0.265,0.156,0.004,0.049
1953:Q1,476996,99754,114297,230931,32014,387980,7.032,17.404,6.256,1.918,15.834,86711,27586,4924,17974,4687,45257,23388,13756,334,3976,1.229,0.257,0.295,0.595,0.083,0.223,0.071,0.013,0.046,0.012,0.117,0.06,0.035,0.001,0.01,0.209,0.24,0.484,0.067,0.759,0.241,0.178,0.652,0.17,0.522,0.27,0.159,0.004,0.046
1952:Q4,468756,95595,112537,229829,30795,380812,6.999,16.162,8.787,1.208,16.754,85098,27439,4944,17814,4681,44497,22979,13464,331,3827,1.231,0.251,0.296,0.604,0.081,0.223,0.072,0.013,0.047,0.012,0.117,0.06,0.035,0.001,0.01,0.204,0.24,0.49,0.066,0.756,0.244,0.18,0.649,0.171,0.523,0.27,0.158,0.004,0.045
1952:Q3,460694,91882,110118,229137,29557,367701,7.133,12.853,8.935,2.838,16.795,83193,26925,4895,17548,4482,43470,22552,13251,335,3585,1.253,0.25,0.299,0.623,0.08,0.226,0.073,0.013,0.048,0.012,0.118,0.061,0.036,0.001,0.01,0.199,0.239,0.497,0.064,0.755,0.245,0.182,0.652,0.166,0.523,0.271,0.159,0.004,0.043
1952:Q2,452623,89022,107712,227523,28366,361030,8.597,15.508,8.662,2.156,42.045,81411,26301,4831,17030,4440,42343,22169,13260,328,3311,1.254,0.247,0.298,0.63,0.079,0.225,0.073,0.013,0.047,0.012,0.117,0.061,0.037,0.001,0.009,0.197,0.238,0.503,0.063,0.756,0.244,0.184,0.648,0.169,0.52,0.272,0.163,0.004,0.041
1952:Q1,443100,85700,105429,226303,25668,359820,8.062,10.797,6.254,5.006,35.309,79983,25446,4707,16343,4396,40873,22234,13385,289,3202,1.231,0.238,0.293,0.629,0.071,0.222,0.071,0.013,0.045,0.012,0.114,0.062,0.037,0.001,0.009,0.193,0.238,0.511,0.058,0.759,0.241,0.185,0.642,0.173,0.511,0.278,0.167,0.004,0.04
