date,Total Nonfinancial,Households and Nonprofits,Nonfinancial Business,Federal Government,State and Local Governments,GDP,Total Nonfinancial Debt Growth,Households and Nonprofits Debt Growth,Nonfinancial Business Debt Growth,Federal Government Debt Growth,State and Local Governments Debt Growth,Nonfinancial Corporate Business,Nonfinancial Noncorporate Business,Noncorporate Business; Nonmortgage Depository Loans,Noncorporate Business; Mortgages,Noncorporate Business; Other,Corporate Business; Corporate Bonds,Corporate Business; Nonmortgage Depository Loans,Corporate Business; Mortgages,Corporate Business; Commercial Paper,Corporate Business; Other,Total Nonfinancial; Ratio to GDP,Households and Nonprofits; Ratio to GDP,Nonfinancial Business; Ratio to GDP,Federal Government; Ratio to GDP,State and Local Governments; Ratio to GDP,Nonfinancial Corporate Business; Ratio to GDP,Nonfinancial Noncorporate Business; Ratio to GDP,Noncorporate Nonmortgage Depository Loans; Ratio to GDP,Noncorporate Mortgages; Ratio to GDP,Noncorporate Other Nonfinancial Debt; Ratio to GDP,Corporate Bonds; Ratio to GDP,Corporate Nonmortgage Depository Loans; Ratio to GDP,Corporate Mortgages; Ratio to GDP,Corporate Commercial Paper; Ratio to GDP,Corporate Other; Ratio to GDP,Households and Nonprofits; Share of Total Nonfinancial Debt,Nonfinancial Business; Share of Total Nonfinancial Debt,Federal Governments; Share of Total Nonfinancial Debt,State and Local Governments; Share of Total Nonfinancial Debt,Nonfinancial Corporate Business; Share of Total Nonfinancial Business Debt,Nonfinancial Noncorporate Business; Share of Total Nonfinancial Business Debt,Noncorporate Nonmortgage Depository Loans; Share of Nonfinancial Noncorporate Business Debt,Noncorporate Mortgages; Share of Nonfinancial Noncorporate Business Debt,Noncorporate Other; Share of Nonfinancial Noncorporate Business Debt,Corporate Bonds; Share of Nonfinancial Corporate Business Debt,Corporate Nonmortgage Depository Loans; Share of Nonfinancial Corporate Business Debt,Corporate Mortgages; Share of Nonfinancial Corporate Business Debt,Corporate Commercial Paper; Share of Nonfinancial Corporate Business Debt,Corporate Other; Share of Nonfinancial Corporate Business Debt
1967:Q2,1131870,376524,355873,285886,113588,848983,4.513,5.103,10.746,-4.865,7.52,246045,109828,16892,80769,12167,114236,73714,38646,3091,16358,1.333,0.444,0.419,0.337,0.134,0.29,0.129,0.02,0.095,0.014,0.135,0.087,0.046,0.004,0.019,0.333,0.314,0.253,0.1,0.691,0.309,0.154,0.735,0.111,0.464,0.3,0.157,0.013,0.066
1967:Q1,1119242,371781,346563,289406,111492,844170,6.025,3.815,9.871,4.621,5.256,239687,106876,16394,78441,12041,110617,71735,38277,2425,16633,1.326,0.44,0.411,0.343,0.132,0.284,0.127,0.019,0.093,0.014,0.131,0.085,0.045,0.003,0.02,0.332,0.31,0.259,0.1,0.692,0.308,0.153,0.734,0.113,0.462,0.299,0.16,0.01,0.069
1966:Q4,1102733,368393,338202,286101,110037,833302,6.15,5.481,7.739,5.386,5.521,232924,105278,16296,77361,11621,107474,69715,37691,1622,16422,1.323,0.442,0.406,0.343,0.132,0.28,0.126,0.02,0.093,0.014,0.129,0.084,0.045,0.002,0.02,0.334,0.307,0.259,0.1,0.689,0.311,0.155,0.735,0.11,0.461,0.299,0.162,0.007,0.071
1966:Q3,1086123,363413,331871,282300,108539,819638,4.879,4.149,9.883,-0.239,5.7,228547,103324,15456,76413,11455,105223,69646,36783,1178,15717,1.325,0.443,0.405,0.344,0.132,0.279,0.126,0.019,0.093,0.014,0.128,0.085,0.045,0.001,0.019,0.335,0.306,0.26,0.1,0.689,0.311,0.15,0.74,0.111,0.46,0.305,0.161,0.005,0.069
1966:Q2,1073034,359682,323869,282469,107014,804981,7.424,8.167,13.429,-0.416,8.127,222357,101512,15288,74938,11286,102790,66966,35819,771,16011,1.333,0.447,0.402,0.351,0.133,0.276,0.126,0.019,0.093,0.014,0.128,0.083,0.044,0.001,0.02,0.335,0.302,0.263,0.1,0.687,0.313,0.151,0.738,0.111,0.462,0.301,0.161,0.003,0.072
1966:Q1,1053481,352486,313349,282763,104883,795734,7.371,7.266,12.577,2.149,6.626,214562,98787,14587,72943,11256,100223,63528,34688,643,15480,1.324,0.443,0.394,0.355,0.132,0.27,0.124,0.018,0.092,0.014,0.126,0.08,0.044,0.001,0.019,0.335,0.297,0.268,0.1,0.685,0.315,0.148,0.738,0.114,0.467,0.296,0.162,0.003,0.072
1965:Q4,1034076,345863,303787,281252,103174,771857,8.3,9.435,10.201,5.457,6.745,208193,95594,14046,70853,10695,97260,61141,34101,797,14894,1.34,0.448,0.394,0.364,0.134,0.27,0.124,0.018,0.092,0.014,0.126,0.079,0.044,0.001,0.019,0.334,0.294,0.272,0.1,0.685,0.315,0.147,0.741,0.112,0.467,0.294,0.164,0.004,0.072
1965:Q3,1013004,337893,296181,277467,101463,749323,5.659,8.159,10.155,-2.729,7.838,202867,93314,13599,69263,10451,96634,58284,33139,706,14104,1.352,0.451,0.395,0.37,0.135,0.271,0.125,0.018,0.092,0.014,0.129,0.078,0.044,0.001,0.019,0.334,0.292,0.274,0.1,0.685,0.315,0.146,0.742,0.112,0.476,0.287,0.163,0.003,0.07
1965:Q2,998872,331138,288848,279373,99513,730191,6.942,8.956,10.612,0.264,8.783,197972,90876,13271,67287,10318,94941,55882,32609,700,13840,1.368,0.453,0.396,0.383,0.136,0.271,0.124,0.018,0.092,0.014,0.13,0.077,0.045,0.001,0.019,0.332,0.289,0.28,0.1,0.685,0.315,0.146,0.74,0.114,0.48,0.282,0.165,0.004,0.07
1965:Q1,981834,323887,281383,279189,97375,717790,6.87,8.522,10.49,1.265,7.325,193186,88197,12903,65087,10208,93342,53724,32181,746,13193,1.368,0.451,0.392,0.389,0.136,0.269,0.123,0.018,0.091,0.014,0.13,0.075,0.045,0.001,0.018,0.33,0.287,0.284,0.099,0.687,0.313,0.146,0.738,0.116,0.483,0.278,0.167,0.004,0.068
