year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
2007,60-79.9,92.667488,252.68387,422.97083,73.447433,7.4064641,13.578518,1.2344108,23.453804,16.047338,41.969963,11.726902,64.189354,59.251713,11.109696,40.735554,304.52911,265.39832,24.811655,148.12929,82.705521,62.954945,18.516161,90.951378,137.76024,140.72282,103.6905,20.367777,6.1720533,4.9376431,6.5423765,141.95723,24.688213,16.047338,20.984982,4.0735555
2007,80-89.9,140.90535,441.30182,699.35541,163.33722,16.047338,24.688213,2.4688215,113.56579,18.516161,56.782894,11.109696,37.032322,113.56579,12.344107,79.249168,444.63474,370.32321,31.354033,222.19392,87.643158,86.408752,24.688213,163.31253,224.53931,202.44336,154.30135,20.984982,11.109696,6.789259,6.1720533,202.44336,41.969963,16.047338,14.812928,5.5548482
2007,90-100,255.15294,1382.6635,1676.3297,510.67572,44.068462,51.845249,3.0860267,308.60269,92.580803,222.19392,34.563499,111.09696,248.11655,55.548481,272.80478,971.4812,617.20538,41.969963,413.52759,216.02188,486.35782,92.580803,444.38785,290.58029,249.35097,182.07558,23.453804,22.219393,8.7519722,9.2580805,246.88214,59.251713,20.984982,19.997454,8.7643156
2010,Less than 20,15.569928,7.1401868,17.673731,1.2960736,.76586163,17.673731,.58912432,23.564974,23.564974,44.773449,4.1238704,44.773449,9.4259892,2.3564973,5.9619384,28.276791,104.86414,6.8338423,70.694923,42.416954,27.924494,6.2447181,29.456217,11.782487,62.447182,84.833908,9.19034,1.1782486,1.2960736,2.3564973,70.694923,35.347462,6.9516673,10.604239,2.8277969
2010,20-39.9,33.535229,32.637489,89.782547,6.2447181,1.767373,17.673731,.58912432,55.377689,9.4259892,44.773449,4.7129946,53.021191,12.960735,3.5347459,8.6012154,87.543877,129.60736,10.957713,84.833908,53.021191,30.045341,5.8912435,35.052898,23.800623,75.407913,70.694923,9.7794638,2.7099719,1.767373,2.3564973,77.764412,23.564974,9.19034,10.604239,3.5347459
2010,40-59.9,53.895905,76.503685,187.93066,20.030228,3.2990963,20.030228,1.1782486,78.942657,5.8912435,58.912434,5.8912435,70.694923,27.09972,5.8912435,14.138984,154.35057,159.06357,16.377657,100.15114,70.694923,47.129948,11.782487,31.812714,71.873169,106.04238,73.051414,14.138984,5.8912435,2.4743223,4.1238704,106.04238,18.851978,11.075538,16.495481,3.652571
2010,60-79.9,83.838074,149.7554,314.00327,46.128437,6.2447181,21.208477,.82477409,43.5952,16.495481,59.195213,8.6012154,38.882206,42.570126,8.8368654,25.037785,232.27994,206.19351,23.564974,85.423027,58.912434,58.912434,15.317233,36.525707,126.07261,137.8551,77.764412,17.673731,7.0694919,3.652571,7.0694919,136.67685,34.169212,12.960735,14.492458,4.9486446
2010,80-89.9,132.94324,340.4314,529.03363,139.38683,12.960735,30.634466,.94259894,117.82487,16.495481,78.353539,11.782487,94.259895,103.68588,11.782487,68.83918,366.55316,294.56216,32.990963,141.38985,68.338425,100.15114,25.921471,67.160172,192.99713,186.16328,103.68588,22.386724,17.673731,6.9516673,5.8912435,186.16328,23.564974,15.317233,23.564974,4.7129946
2010,90-100,241.93272,1402.116,1750.8776,648.97937,41.238705,40.060455,2.3564973,349.93985,73.051414,235.64973,35.347462,176.7373,326.37488,58.912434,314.00327,891.34509,559.66809,42.416954,377.03958,235.64973,530.21191,41.238705,183.80679,314.82803,282.77969,212.08476,25.921471,23.564974,8.95469,18.851978,265.10596,69.51667,20.030228,29.456217,14.138984
2013,Less than 20,15.602152,6.8086553,16.473652,1.0981702,.65890211,9.1148129,.54908508,1.0981702,10.981702,34.043278,4.9417658,21.963404,5.710485,2.1963403,7.2479234,25.257915,87.853615,7.4675574,71.381065,17.570723,20.865234,4.3926806,18.668894,11.860238,46.12315,124.09323,8.7853613,1.3178042,1.0981702,3.2945106,49.41766,27.454254,5.930119,13.178042,3.2945106
