year,Categorization,Category,Before_Tax_Income_mean,Net_Worth_mean,Assets_mean,Financial_Assets_mean,Transaction_Accounts_mean,Certificates_of_Deposit_mean,Savings_Bonds_mean,Directly_Held_Bonds_mean,Directly_Held_Stocks_mean,Pooled_Investment_Funds_mean,Cash_Value_Life_Insurance_mean,Other_Managed_Assets_mean,Retirement_Accounts_mean,Other_Financial_Assets_mean,Stock_Holdings_mean,Nonfinancial_Assets_mean,Primary_Residence_mean,Owned_Vehicles_mean,Other_Residential_Real_Estate_mean,Net_Equity_in_Nonres_Real_Estate_mean,Business_Equity_mean,Other_Non_Financial_Assets_mean,Unrealized_Capital_Gains_mean,Debt_mean,Home_Secured_Debt_mean,Other_Res_Real_Estate_Debt_mean,Installment_Loans_mean,Other_Lines_of_Credit_mean,Credit_Card_Balances_mean,Other_Debt_mean,Mortgages_Home_Equity_Loans_mean,Home_Equity_Lines_of_Credit_mean,Vehicle_Installment_Loans_mean,Education_Installment_Loans_mean,Other_Installment_Loans_mean,Before_Tax_Income_median,Net_Worth_median,Assets_median,Financial_Assets_median,Transaction_Accounts_median,Certificates_of_Deposit_median,Savings_Bonds_median,Directly_Held_Bonds_median,Directly_Held_Stocks_median,Pooled_Investment_Funds_median,Cash_Value_Life_Insurance_median,Other_Managed_Assets_median,Retirement_Accounts_median,Other_Financial_Assets_median,Stock_Holdings_median,Nonfinancial_Assets_median,Primary_Residence_median,Owned_Vehicles_median,Other_Residential_Real_Estate_median,Net_Equity_in_Nonres_Real_Estate_median,Business_Equity_median,Other_Non_Financial_Assets_median,Unrealized_Capital_Gains_median,Debt_median,Home_Secured_Debt_median,Other_Res_Real_Estate_Debt_median,Installment_Loans_median,Other_Lines_of_Credit_median,Credit_Card_Balances_median,Other_Debt_median,Mortgages_Home_Equity_Loans_median,Home_Equity_Lines_of_Credit_median,Vehicle_Installment_Loans_median,Education_Installment_Loans_median,Other_Installment_Loans_median,US_GDP,World_GDP
1992,Age,65-74,51.825916,515.10498,555.72906,210.11702,36.39212,76.631088,7.9873185,251.37852,235.01999,122.32153,15.514873,209.0166,96.948952,74.568253,200.5867,377.77451,181.93018,15.866413,176.34857,502.85858,888.7146,104.88067,242.8107,44.059093,60.402802,134.04556,12.33868,91.738144,2.6572235,43.411179,55.306396,49.215656,10.828696,12.364398,11.514016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6520327000000.0,25393696182655.1
1992,Age,75 or older,41.729069,383.00931,403.04593,196.3317,45.595337,96.168945,17.54867,277.20709,186.61032,93.606079,10.675036,226.0448,99.473282,53.412788,178.92636,232.56715,164.57968,12.31943,199.44986,397.75677,499.40668,43.81802,152.83665,31.77836,61.44109,381.86774,11.19671,21.273756,3.430613,9.1525335,61.440205,62.189571,6.0955725,2.2167566,17.501099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6520327000000.0,25393696182655.1
1995,Age,Less than 35,52.134304,72.250999,131.67557,40.011353,6.0279684,18.59433,3.2181318,32.772976,18.461651,24.693277,29.609663,105.96854,31.48023,17.348274,25.830454,102.7735,139.47931,18.546713,103.75349,65.817581,126.90245,32.202232,34.516853,62.377304,110.88376,72.544037,16.386406,11.131077,4.7563915,11.492502,110.38686,14.585732,13.871146,13.488067,6.0532546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7639749000000.0,31043806328491.8
1995,Age,35-44,81.487808,240.47992,337.24805,96.537994,13.489457,30.219648,5.8372641,238.56143,74.079956,69.257004,33.100174,142.67625,59.551533,28.475126,76.057625,259.60654,196.62367,23.080091,136.50565,112.21066,380.49319,37.667355,88.578979,96.493454,122.49395,87.855492,14.217604,7.1303916,5.4056835,13.210852,121.35424,28.448584,13.192155,11.454912,6.7214785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7639749000000.0,31043806328491.8
1995,Age,45-54,110.54991,501.9873,614.35278,229.7435,29.481043,71.075775,7.1240196,211.37794,131.50145,158.91833,47.819088,274.27438,145.86855,58.025623,188.64378,410.20929,229.43512,28.053272,197.99605,166.58778,684.5332,66.322945,213.13165,111.04843,113.12141,111.79191,19.55423,30.485645,6.1121058,15.197571,111.54321,33.275169,16.007423,16.980986,13.777393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7639749000000.0,31043806328491.8
1995,Age,55-64,90.174988,638.8277,727.91882,285.30099,38.548538,70.981567,12.633493,498.36609,286.70233,222.37238,31.400024,223.22432,156.66289,68.895554,288.80713,470.48865,210.70131,24.955191,217.50261,354.98505,1104.9861,114.21757,271.01654,85.64151,93.810638,111.36582,12.765841,22.416168,4.8242593,56.345612,93.170815,36.238937,12.061491,13.380795,5.9462361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7639749000000.0,31043806328491.8
1995,Age,65-74,62.636211,584.49188,623.01862,284.12183,41.809555,87.894974,20.374943,434.34964,252.64757,287.07193,33.308052,203.81351,139.9774,98.493065,273.67621,372.24792,179.91455,21.181782,208.15572,302.51208,944.49042,120.04117,254.67526,45.558685,60.956863,95.481712,13.110585,39.482914,3.0739827,42.262703,61.297935,24.748058,9.7423296,9.090168,18.356264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7639749000000.0,31043806328491.8
1995,Age,75 or older,44.230808,434.10297,446.78043,237.9846,41.526119,62.088295,23.888178,313.63855,297.56726,271.76944,21.822937,442.56464,99.12809,86.623817,318.06345,239.49966,171.47809,15.142672,177.72765,258.61575,686.59149,152.39218,178.26129,19.267736,40.2295,123.84625,8.6784945,2060.864,1.7963659,9.268054,41.5382,36.752041,13.053646,1.9221008,3.7460463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7639749000000.0,31043806328491.8
1998,Age,Less than 35,56.784058,105.50204,172.51439,57.84404,9.8605566,17.603487,2.1679137,56.355015,60.515488,29.487961,39.342842,301.42087,35.531467,24.032732,54.354401,134.72778,160.11557,17.903221,98.598717,127.88376,354.78665,18.545755,52.520107,71.524033,118.22521,87.485184,23.13743,5.3914695,5.1032081,5.9276924,118.56313,16.156322,15.577054,23.605457,13.345438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9062818202000.0,31539696077319.9
1998,Age,35-44,94.280388,308.81802,422.03574,155.20206,17.412539,26.084593,4.4268894,209.85902,133.86702,116.77628,59.810059,246.69392,82.195015,20.070862,140.42596,290.21701,212.98103,24.906435,150.49876,132.85481,465.85349,28.909517,141.55476,117.75785,135.66638,107.81915,21.316618,7.1283536,7.3611522,9.5562353,134.63367,26.79685,16.469265,15.357539,18.271214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9062818202000.0,31539696077319.9
